i,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,b,b,r
1168.2,1343.3,1538.2,1728.1,1871.9,1997.3,2129.4,2255.2,2325.1,2493.7,2667.1,2818.9,2961.4,3091.3,3160.3,3310.2,3485.2,3548.3,3669.7,3739.8,3899.9
1202.6,1393.3,1587.3,1780.7,1924.3,2085.1,2229.3,2301.2,2370.2,2565.1,2733.8,2884.6,3023.8,3137.4,3209.6,3378.1,3514.4,3584.2,3718.4,3786.1,3968.2
