l,l,i,l,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,l,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,l,i,l,i,i,i,r,e,e,a,b,r,n
1680.2,1821.2,1988.4,2135.8,2277.2,2391,2522.2,2659.1,2784.9,2857.3,3019.3,3184.7,3314.5,3441.1,3579.5,3652.4,3798.8,3960.6,4028,4148.3,4222.2,4379.1,4471.4,4586.9,4721.7,4849.2,4923.9,5074.6,5255.3,5425.1,5595.7,5768.7,5922.1,6061.3,6194.9,6332.3,6458.1,6534.2,6717.9,6900,7046.8,7179,7258,7460.9,7645.4,7812.7,8013.4,8191.8,8327.2,8519.7,8686.2,8784.9,8898.6,9036,9158.9,9238.2,9420.8,9595.9
1726.2,1876.4,2036.1,2200.5,2336.5,2451.3,2627.4,2763.4,2836.9,2910.7,3085.5,3255.2,3384.9,3514.2,3633.8,3708.7,3864.1,3998.5,4073.2,4204.1,4268.2,4420.7,4519.7,4683.7,4823.6,4903.9,4973.2,5140.3,5326.6,5490.4,5665.5,5811.2,5969.9,6125.5,6303.2,6433.9,6511.3,6581.9,6791.5,6970.5,7118.6,7235.8,7312.2,7534,7704,7877,8061.1,8256.1,8375.6,8565.2,8739.5,8839.9,9009.5,9142.1,9216.1,9288.4,9470.2,9664.8
