i,r,i,r,r,r,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,r,e,e,a,b,i,r,e,e,a,b,r,n,e,e,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,l,i,l,r,e,e,a,b,r,n,n,n,a,b,i,i,r,e,e,a,b
1761.3,1970,2271.3,2437.4,2659.5,2882.8,3075.2,3237.3,3426.8,3580.1,3705.3,3830.3,3952,4020.8,4164.2,4341.2,4489,4628.2,4696.9,4838.7,5017.6,5189.2,5323.2,5446.3,5515.2,5654.4,5839.5,6022.5,6173,6288.3,6428,6548.5,6623.2,6891.4,7013.3,7131.3,7266.9,7389.9,7463,7614.1,7794.1,7963.7,8092.5,8213.6,8283.4,8483.7,8577.6,8687.1,8823.9,8947.7,9018.1,9177.5,9370.6,9510.8,9649.1,9718.6,9863.7,10040,10228,10364,10490,10562,10714,10906,11080,11268,11442,11538,11652,11789,11914,11987,12142,12328,12491,12632,12765,12835,13088,13272,13411,13528,13662,13782,13860
1794.2,2018.6,2310.6,2488.2,2712,2936.4,3115.6,3294.8,3455.8,3630.8,3797.8,3919,4002.8,4071,4222.2,4407.4,4555.6,4673,4746.8,4903.2,5071.9,5293.1,5411.5,5496,5566.8,5717.8,5897.9,6059.7,6221.3,6389.4,6522.7,6602.1,6673.5,6937.9,7071.2,7232.6,7364.2,7441.2,7512.3,7673.2,7862.3,8057.1,8182.8,8263.8,8332.8,8522.5,8628.4,8789.4,8915.7,8997.9,9065.6,9221.8,9437.2,9575.7,9698.1,9771.2,9931,10099,10336,10471,10541,10610,10757,10974,11140,11307,11498,11589,11751,11886,11966,12038,12206,12398,12558,12696,12813,12888,13136,13320,13467,13624,13763,13838,13909
