i,i,i,r,r,r,r,r,r,l,l,e,a,b,r,n,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,l,e,r,n,l,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b
108.03,289.2,529.82,682.68,866.68,1030.7,1208.1,1364.4,1530.3,1702.9,1844.2,1987.5,2115.4,2187.8,2348.1,2522.6,2671.8,2805.6,2876.2,3016.4,3187.9,3345,3484.4,3606,3678,3806.8,3981.4,4120.1,4249.6,4320.7,4456.9,4622.1,4795,4932.9,5064.7,5196.8,5320.8,5394.2,5571.6,5659.6,5773.4,5910.1,6033.3,6106.6,6259.3,6438.1,6571.8,6709.1,6781.4,6931.9,7105.3,7247,7396.4,7468,7604.2,7775,7935.2,8073.2,8200.1,8271.5,8423.3,8598.8,8755.8,8885.9,8957,9103.7,9290.5,9459.3,9584.2,9719.2,9846.4,9921,10147,10314,10454,10590,10719,10791,10926,11106,11253,11424,11564,11753,11911,12066,12210,12331,12473,12592,12670,12829,13010,13186,13325,13448,13520,13715,13890,14036,14176,14248,14382,14591,14761,14896,15024,15098
161.81,351.48,566.62,744.96,928.96,1085.6,1256.1,1422.2,1586.9,1766,1901.8,2079.8,2170.1,2236.4,2418,2593.2,2777.7,2860.1,2929.5,3079.3,3259.9,3446.7,3581.4,3658.7,3725.2,3857,4049.4,4190.4,4299.3,4372.6,4522.8,4673.8,4840.9,4989.1,5168.7,5291.3,5374.4,5441.9,5605,5706.5,5876.1,6004.8,6087.4,6156.2,6324.1,6507.6,6644.2,6761.2,6832.8,7004.2,7174.8,7320.5,7449.5,7521.4,7675.9,7832.5,8038.8,8172.9,8255.3,8323.9,8488.5,8671.2,8827.2,8937.9,9007.8,9158.6,9348.7,9514.9,9687.1,9814.8,9899.1,9972.1,10215,10383,10527,10662,10771,10845,10995,11166,11308,11477,11632,11821,11967,12106,12263,12434,12572,12651,12716,12895,13070,13290,13420,13504,13572,13787,13966,14104,14228,14300,14437,14649,14856,15004,15072,15149
