i,i,i,i,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,l,e,e,a,b,r,n,e,e,a,b,r,l,i,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1107.4,1263.4,1414.8,1547.2,1677.3,1828.2,1987.3,2124.2,2244.8,2317.3,2452.4,2615.6,2745.6,2876,2946.6,3074.9,3252.3,3318.4,3435.6,3504.7,3660.8,3749.9,3859,4005.4,4130.1,4204.6,4342.2,4512.3,4644.1,4769.1,4842,4979.6,5146.2,5206.2,5326.6,5396.2,5543.1,5709.4,5774.3,5896.2,5973.3,6150.3,6236.9,6349.6,6487.3,6609.2,6684.3,6824.5,7003.3,7179.6,7339,7516.6,7650.2,7775.6,7848.2,7999.1,8170.7,8346.1,8478.5,8595.8,8670.7,8830.4,9031.1,9209.8,9398.4,9543.9,9668.1,9807.2,9932.2,10004,10170,10352,10496,10631,10768,10839,10973,11151,11346,11502,11590,11704,11842,11965,12038,12188,12486,12680,12859,13007,13202,13355,13472,13609,13740,13812,13969,14137,14284,14433,14575,14648,14794,14995,15180,15318,15447,15520
1141.6,1296.8,1443.9,1582,1742.9,1881,2093.4,2219.5,2298.3,2363,2516,2684.4,2814.8,2927.4,2995.2,3141.8,3280,3358,3484.5,3550.3,3697.7,3795.6,3960.2,4103.6,4185.4,4250.1,4406.8,4581,4710.1,4822.5,4889.8,5040.7,5170.4,5242.6,5377.4,5439.3,5604.5,5737.6,5815.8,5954.2,6021.8,6188.6,6283.3,6456.4,6584.5,6667.9,6733.7,6891.4,7058.8,7214.6,7399.3,7619.2,7751.4,7829.5,7892.8,8063.5,8235,8449.1,8581,8653.9,8726.1,8880.8,9090,9253.1,9461.8,9602.5,9773,9902.1,9986.7,10050,10239,10424,10567,10699,10819,10888,11040,11212,11381,11543,11646,11810,11938,12019,12087,12255,12536,12719,12900,13071,13239,13409,13578,13707,13788,13858,14034,14205,14356,14505,14631,14704,14863,15054,15282,15423,15504,15572
