i,r,r,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,r,l,r,l,e,e,a,b,r,n,n,e,i,i,r,e,e,a,b,r,n,n,a,b,r,l,l,l,i,i,i,i,r,e,e,a,e,l,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,l,i,i,i,r,e,a,b,r,n,n,a,b,r,l,i,l,l,e,e,a,b,r,l,l,l,r,i,i,i,r,e,e,a,b
1214.3,1389.2,1567.2,1763.9,1961.8,2150,2358.3,2552.9,2702.3,2829.2,2967.7,3095.8,3166.8,3341.7,3530.2,3687.1,3827.8,3898.8,4037.1,4206.2,4278,4407.3,4476.3,4645.2,4822.1,4955.5,5087.5,5223.1,5295.4,5447.5,5621.6,5721.6,5905.2,6062.8,6202.6,6331.6,6404.6,6555.8,6729.1,6871,7017.5,7163.3,7323.6,7478.2,7597.9,7736.1,7863.5,7935.9,8099.4,8293.9,8431.6,8572.8,8644,8778.9,8955.2,9116.8,9264.1,9438.7,9622.6,9809,9967.2,10097,10220,10360,10484,10557,10582,10713,10882,11018,11157,11229,11365,11534,11599,11716,11792,11999,12087,12204,12337,12466,12540,12696,12877,13051,13218,13399,13551,13705,13834,13966,14040,14180,14364,14496,14630,14703,14846,15029,15201,15368,15504,15666,15804,15930,16005,16171,16356,16510,16660,16806,17022,17212,17399,17547,17671,17810,17932,18007
1250.7,1442.5,1620.1,1815.4,2014,2202.4,2415.5,2612.5,2755.4,2928.2,3064.3,3144.2,3218.8,3413,3595.8,3757.8,3881.2,3952.5,4107.3,4247.9,4318.2,4454.4,4528.6,4718.1,4891.1,5029.5,5155.2,5273,5346.3,5509.8,5667.4,5795.2,5962.2,6166.7,6302.8,6382.7,6458.7,6626.5,6797.7,6939.6,7070,7213.2,7364.2,7531.4,7694,7832.7,7918.6,7989.1,8170.5,8363.3,8500.2,8626.2,8697.8,8852,9015.4,9174.3,9325.1,9478.3,9668.2,9851,10012,10153,10318,10454,10535,10581,10608,10781,10951,11089,11212,11282,11437,11565,11640,11774,11841,12050,12141,12304,12434,12520,12589,12768,12935,13110,13265,13438,13602,13763,13934,14022,14092,14253,14433,14564,14682,14751,14916,15085,15243,15427,15571,15767,15903,15986,16056,16242,16417,16567,16728,16884,17068,17252,17440,17601,17775,17902,17983,18058
