i,i,r,r,r,l,r,l,l,i,r,e,a,b,r,n,n,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,a,b,l,r,e,e,e,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,i,i,i,i,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b
1715.9,1993.9,2254.9,2435.6,2629.5,2792.8,2950.1,3131,3316.1,3505.8,3650.2,3790.8,3911.9,3981.9,4135.1,4305.4,4455.4,4588.8,4658.2,4826.6,5012.7,5152.7,5304.6,5372,5514.2,5685.4,5751.4,5885.4,5954.7,6137.1,6224.3,6336.5,6472.8,6597.1,6667.4,6822.1,6994.9,7150,7288.9,7358.4,7501.1,7673.6,7755.3,7877.4,7946.7,8209.2,8321,8462.1,8580.8,8651.1,8800.9,8984.8,9122.2,9249,9319.1,9501.8,9590.1,9701.5,9840,9976.1,10096,10167,10333,10500,10689,10829,10950,11023,11239,11412,11571,11703,11774,11913,12099,12280,12452,12563,12681,12812,12942,13013,13174,13357,13498,13633,13703,13861,14043,14224,14363,14488,14560,14711,14905,15093,15277,15445,15615,15768,15956,16096,16215,16352,16475,16548,16761,16935,17071,17212,17284,17444,17629,17767,17895,17968,18111,18290,18459,18614,18733,18871,18996,19068
1742.3,2028.9,2290.2,2484.4,2678.8,2852.4,3000.6,3198.4,3376.4,3543.2,3705.7,3883.5,3960.3,4034.2,4196.8,4376.6,4521,4636.4,4710.7,4895.6,5081.6,5219.5,5352.1,5425.9,5558.9,5719.9,5792.4,5932.1,6002.8,6174.8,6270.3,6442.2,6566.8,6647.4,6716.8,6886.6,7058.4,7214.1,7338.5,7410.2,7567.9,7724.4,7792.2,7925.7,7990.2,8264.1,8422.5,8548.6,8630.7,8699.6,8865,9057.5,9191.1,9299.7,9370.5,9539.7,9637.2,9807.4,9937.2,10070,10151,10215,10396,10558,10792,10927,11005,11070,11299,11479,11640,11753,11827,11980,12160,12318,12498,12618,12784,12920,12992,13056,13239,13429,13566,13683,13757,13935,14099,14334,14462,14539,14615,14779,14966,15136,15319,15480,15645,15808,16000,16146,16318,16450,16522,16595,16828,17004,17139,17263,17338,17511,17700,17838,17949,18019,18179,18346,18497,18664,18832,18973,19050,19116
