l,l,l,r,r,r,r,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,n,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,r,l,i,r,e,e,a,b,r,i,r,r,e,e,a,b,r,n,e,e,a,b,r,l
1304.8,1462.5,1637.2,1788.8,1977.9,2144.6,2321.6,2493.1,2630.8,2767.6,2886.3,2961.5,3111.5,3286.7,3431.9,3570.9,3694.8,3767.3,3903.5,4077.3,4212.3,4345.2,4416.8,4576.5,4748,4811.5,4934.9,5009,5148.8,5322.9,5471.1,5605.9,5733.8,5806,5968.3,6149.1,6288.1,6424.3,6544.2,6619.9,6816.2,6993.2,7123.1,7253.9,7325.8,7479.3,7694.3,7837.9,7968.2,8084.5,8230.8,8351.5,8429.1,8594.9,8773.2,8917.6,9052.7,9126,9290.6,9465.7,9630.8,9768.6,9898.5,10039,10168,10241,10395,10584,10747,10888,11008,11086,11247,11452,11619,11743,11891,12029,12153,12229,12413,12597,12731,12861,12933,13077,13113,13252,13431,13564,13690,13829,13956,14030,14218,14446,14593,14808,14996,15135,15259,15333,15513,15705,15851,15987,16120,16194,16365,16559
1356.6,1519,1696.5,1842.6,2023.8,2205.5,2378.2,2548.7,2732.3,2863.2,2945,3013.1,3178,3357.4,3539.2,3669.1,3751.7,3815.4,3967.6,4144.7,4281,4399,4471,4645.1,4775.6,4854.2,4991.6,5062.8,5213.4,5395.6,5575.2,5707,5787.5,5855.7,6033.7,6220.7,6385,6520.5,6603.5,6673.9,6894.2,7065.2,7191.8,7307.1,7376.9,7547.4,7722.4,7876.6,8018.5,8188.3,8330,8414.8,8479.4,8665.7,8844.8,8986.8,9105.8,9178.4,9355.9,9515.5,9673.9,9827.9,10007,10141,10224,10291,10464,10656,10851,10984,11070,11137,11314,11507,11658,11800,11994,12130,12214,12279,12479,12669,12803,12917,12984,13111,13146,13304,13469,13623,13792,13928,14015,14082,14288,14488,14652,14864,15105,15235,15318,15382,15583,15777,15955,16088,16176,16239,16408,16628
