i,r,r,r,r,r,r,r,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,r,e,e,a,b,r,n,n,n,i
1149.6,1311.5,1485.9,1654.3,1794.5,1982.3,2162.5,2326.7,2441.9,2573,2644.3,2785.7,2956.8,3089.6,3215.1,3344.7,3416.9,3551.2,3730.9,3872.3,4007.7,4078.7,4205.8,4379.3,4455.2,4580,4651.1,4810.2,4904.8,5019.7,5155.7,5277.5,5355.4,5491.6,5657.2,5794,5923.7,6055.5,6126.7,6263.8,6427.6,6582.9,6710.4,6876.8,7009.4,7130.5,7206.6,7329.2,7515.8,7658.9,7788.6,8679.5
1182.6,1362.2,1542.1,1699.6,1846.6,2034.8,2221.5,2378.2,2545.1,2626.1,2693.8,2852.8,3027.8,3158.8,3286.8,3395.1,3462.9,3624.3,3802.4,3941.4,4061,4125.8,4277.9,4423.6,4485.2,4631,4698.7,4853.1,4957.6,5123.6,5250.9,5332.3,5399.2,5557.4,5728.4,5863.6,5997.9,6108.6,6172.7,6331.9,6484.3,6645.7,6768.8,6979.6,7107.8,7187.7,7258.2,7401.9,7586.3,7726,7856.8,8718.5
