r,r,r,r,r,e,e,a,b,r,n,n,n,n,a,b,r,l,l,i,i,l
1116,1303.6,1476.6,1656.6,1815.1,1994.6,2140.1,2256,2328.8,2473,2658.3,2804.5,2941.2,3085.2,3217.9,3290.2,3439.4,3618.1,3794.9,3953.1,4134.8,4290.7
1167.3,1360.3,1526.2,1708.7,1871.2,2089,2228.1,2311.1,2381.8,2537.3,2727.3,2877.3,3013.8,3157,3264.5,3344.1,3503.5,3682,3854.7,3999.5,4171.6,4320
