i,i,i,l,r,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b
1634.1,1802.3,1985.4,2131.1,2264.8,2443.2,2565,2706,2847,2965.1,3044.6,3178.2,3354.8,3487.4,3612.8,3690.3,3832.9,4007.1,4165.9,4300.7,4422.9,4496.4,4644.4,4827.6,4957,5085,5163.7,5302.9,5483.5,5643.2,5772.2,5894.1,6026.2,6102.6,6247.1,6418.8,6549.8,6687.1,6818.1,6890.6,7031.7,7202,7371.3,7508.6,7631.2,7756.1,7834.7,7994.7,8168.1,8302,8427.8,8507.1,8653.1,8747,8863.7,9004.4,9126,9203.9,9341.1,9517.8,9673.6,9816.9,9887.6,10036,10235,10431,10573,10692,10834,10953,11031
1658.2,1845.5,2036.2,2195,2326.7,2512.2,2623.2,2807.7,2941.3,3026.3,3100.7,3255,3425.8,3559.3,3672.2,3744.2,3898.7,4065.2,4269.7,4400.6,4480,4554,4718.6,4898.2,5031.6,5145.2,5224.3,5377.7,5546.1,5693.4,5833.5,5999.6,6084.7,6154.8,6318.8,6491.2,6625.1,6762.6,6871.5,6945.2,7106.3,7266.1,7422,7566.3,7730.5,7819,7883.8,8066.7,8241,8379.7,8487.2,8563.8,8701.6,8805.6,8963.9,9111.7,9188.6,9256.3,9422.8,9595.7,9752,9871.7,9946.3,10112,10300,10485,10632,10799,10931,11016,11089
