r,r,i,i,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,l,i,i,l,l,r,e,e,a,b,r,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,i,r,r,i,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,l,e,e,a,b
1153.4,1347.4,1518.2,1675,1833.7,1997.6,2134.3,2247.4,2318,2463.5,2646,2784.6,2927.1,2997,3134.1,3310.5,3447,3582.4,3709.5,3780.4,3962.9,4047.4,4161.2,4308.6,4426.1,4494.9,4644.1,4821.7,5023.5,5159.1,5286.5,5358.9,5510.2,5737.4,5958.1,6138.1,6309.3,6455.2,6593,6716.2,6850.5,6972.5,7044.6,7201.7,7544.2,7735.7,7924.2,8076.8,8215,8334.7,8471,8593.1,8666.9,8819.5,8989.3,9127.5,9273.5,9405.5,9481.8,9626.9,9804.2,9972.8,10110,10233,10306,10496,10679,10747,10869,10944,11121,11208,11326,11464,11591,11664,11830,12009,12174,12355,12520,12657,12779,12917,13040,13117,13263,13444,13591,13731,13861,13933,14085,14281,14462,14666,14823,15010,15196,15438,15621,15814,15981,16109,16233,16367,16493,16567,16716,16906,17041,17176,17297,17374,17516,17697,17761,17886,17959,18160,18250,18363,18500,18624,18697,18851,19042,19179,19311,19449,19527,19673,19856,20035,20205,20343,20471,20547
1205.9,1401.2,1555.9,1714.2,1892.1,2087.8,2211.8,2300.2,2371.1,2531.2,2711.2,2850.7,2979.1,3048.5,3202.6,3375.9,3514.1,3648.8,3761.6,3832.5,4010.2,4102.4,4267.5,4404.7,4475,4542.5,4712.9,4879.4,5122.8,5253.2,5338.6,5404.9,5580.3,5795.3,5997.7,6183.6,6366.6,6518.6,6650.7,6815,6947.7,7024.2,7093.1,7271.4,7594.5,7781.9,7965.3,8121.8,8268.8,8434.1,8566,8648.9,8717.1,8890.2,9060.6,9201.9,9338.9,9459.3,9534.8,9698.3,9863.8,10073,10211,10286,10363,10571,10716,10789,10928,10996,11162,11263,11421,11556,11646,11716,11897,12066,12237,12399,12569,12715,12888,13016,13095,13164,13335,13512,13666,13797,13910,13980,14157,14341,14525,14710,14879,15071,15245,15478,15685,15854,16020,16168,16326,16466,16543,16618,16787,16977,17111,17244,17356,17429,17586,17728,17801,17940,18004,18199,18304,18464,18599,18675,18746,18923,19108,19250,19384,19509,19574,19738,19914,20096,20309,20448,20528,20596
