r,l,i,l,i,r,e,e,a,b,r,l,i,i,i,i,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a
1043.2,1224.3,1396.6,1562.2,1732.9,1868.2,1986.5,2124.8,2251.4,2322.5,2476.4,2657,2850.1,3022.2,3184.1,3356.7,3479,3598.8,3740,3860.5,3983,4053.9,4209.5,4378.7,4531.9,4662,4736.2,4887.4,5056.9,5122.6,5250.1,5319.6,5476.4,5564.6,5678.9,5819.8,5937.4,6008.4,6174.7,6361.4,6510.4,6645.6,6785,6927.9,6998.6,7165.5,7254.3,7369.3,7505.2,7626,7697.9,7843.2,8033.5,8182.4,8322.2
1111.5,1277.7,1433.6,1619.4,1770.8,1926.7,2092.2,2227.1,2304.9,2369.6,2542.7,2716.4,2886.6,3056.5,3223.7,3397.1,3531.1,3704.1,3826.8,3956.1,4033.3,4105.9,4271.4,4448.7,4598.3,4718.9,4789.9,4950.9,5090,5160.3,5301.4,5372.4,5516.2,5614.3,5779.5,5908.8,5988.7,6060.2,6244.8,6432.5,6584.3,6718.7,6853.4,6977.8,7048.9,7205,7304.3,7465.3,7600.1,7680.9,7745.3,7908,8100.4,8249.5,8358.8
