l,l,w,w,r,w,r,p,d,d,d,p,a,c,r,l,l,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,w
1972.2,2208.6,2426.2,2707,3036.5,3226.4,3539.2,3713.4,3876.2,3947.1,4017.2,4124.6,4226.9,4302.8,4606.4,4781.8,4947.8,5131.8,5523.7,5674.3,5838.1,5907.6,5976.3,6082,6184.1,6260,6568.7,6721.8,6888.7,6958.9,7027.3,7136.8,7239.5,7310.7,7622.3,7800.6,8003.7,8152.2,8314.2,8385.9,8453.7,8564.2,8666.2,8739.3,9021.9,9168.3,9350.4,9539.1,9693.2,9831.6,9908.3,10218,10419,10575,10738,10808,10878,10987,11092,11163,11496,11662,11875,12220,12377,12538,12610,12680,12789,12894,12972,13704,13867,14051,14408,14565,14722,14792,14863,14971,15073,15151,15563,15712,15910,16071
2086.5,2314.2,2573.6,2848.9,3085.1,3389.1,3592.2,3782.9,3924.8,3996.5,4082.5,4182.5,4284.4,4442.4,4655.5,4853.1,5052.3,5381.6,5574.2,5747.4,5886.7,5958.4,6040.2,6139.5,6242.9,6402.1,6625.9,6798.4,6935.8,7007.5,7087.6,7194.4,7297.2,7455.1,7677.5,7889.2,8056.6,8224.8,8362.2,8434.9,8519,8625.3,8724,8882.2,9145.2,9227.8,9415.4,9591.1,9767.6,9893.6,10060,10281,10473,10650,10786,10856,10943,11049,11149,11306,11554,11791,12071,12277,12453,12585,12662,12746,12848,12952,13110,13752,13978,14249,14464,14635,14769,14845,14925,15032,15132,15297,15685,15767,15972,16265
