l,l,r,w,w,r,p,d,d,d,p,a,c,r,l,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c
2218.8,2481,2777.3,2943.9,3151.8,3468.9,3630.9,3789.8,3858.3,3925.2,4028.2,4132.5,4210.1,4497.7,4663.3,4835.9,5034.8,5379.4,5535.6,5692.9,5762.5,5831,5933.5,6042.7,6119.2,6402.8,6572.7,6733.3,7071.1,7222.5,7380.2,7449.2,7518.2,7622.6,7723,7792,8067.4,8214.2,8402.7,8602.7,8747,8886,8965.7,9220.1,9368.2,9553.9,9716.8,10050,10205,10358,10428,10496,10599,10702,10770,11076,11233,11390,11459,11729,11875,12058,12259,12412,12565,12636,12704,12808,12914,12983,13376,13522,13704,13862,14226,14382,14537,14608,14677,14780,14886,14963,15272,15440,15596,15667,15973,16120,16307,16484,16821,16973,17129,17200,17271,17373,17480,17550,18238,18400,18586,18941,19095,19251,19322,19391,19495,19601,19671
2333.2,2609.2,2829.3,3070.8,3319.2,3525.3,3700.9,3835.2,3908.3,3989.6,4093.5,4191.1,4351.1,4560.7,4763.4,4956.3,5251.9,5441.9,5608,5741.9,5815.7,5894.9,6005.1,6101.5,6263,6466.9,6660.7,6949.6,7131,7296.8,7430.3,7500.9,7580.2,7686,7782.1,7944.2,8197.9,8271.8,8470.4,8661.6,8818.1,8944,9109.2,9354.9,9428.2,9620.6,9916.8,10115,10280,10409,10481,10558,10668,10759,10917,11140,11303,11446,11611,11858,11932,12127,12317,12484,12619,12691,12769,12878,12974,13132,13504,13580,13771,14059,14290,14454,14589,14662,14743,14848,14945,15106,15334,15515,15657,15821,16102,16178,16381,16685,16885,17050,17178,17251,17336,17443,17538,17701,18291,18493,18789,19002,19169,19301,19376,19455,19564,19661,19824
