l,w,w,w,r,l,r,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,r,w,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
2827.2,3100.6,3370.4,3963.4,4349.7,4543.4,4852.4,5041.6,5400.4,5560.4,5718.2,5787,5855.1,5958,6063,6132.3,6428.6,6601.1,6779.7,6935.2,7087.5,7166.6,7462.9,7634.9,7839.1,8167,8324.9,8485,8555.3,8623.6,8724.4,8830.9,8900.5,9206.9,9384,9577.7,9733,9877.6,9947.6,10252,10458,10613,10771,10842,10910,11015,11120,11190,11506,11674,11876,12139,12300,12463,12533,12602,12704,12812,12880,13368,13529,13722,14278,14442,14641,14967,15120,15281,15352,15420,15524,15630,15698,16045,16219,16371,16442,16731,16876,17065,17376,17530,17692,17761,17830,17934,18040,18109
2876.4,3219,3503.8,4130.3,4413,4645.3,4918.5,5258.3,5458,5635.9,5767.3,5836.3,5918.5,6024.6,6120.1,6288.7,6490.3,6671.1,6843.4,7007.2,7146.6,7315.2,7519.9,7769.5,8051.9,8234,8402.8,8534.5,8607.1,8686.7,8792.8,8892.4,9049.8,9270.4,9451.2,9643.8,9806.6,9940.9,10106,10322,10522,10690,10820,10895,10973,11081,11176,11342,11568,11801,12025,12210,12380,12514,12586,12666,12778,12872,13037,13434,13628,13855,14335,14551,14827,15030,15190,15329,15402,15486,15592,15691,15855,16109,16294,16432,16594,16864,16938,17139,17428,17604,17741,17814,17894,18003,18101,18268
