w,w,r,l,r,p,d,d,d,p,a,c,r,l,w,w,r,p,d,d,d,p,a,c,r,l,w,w,r,p,d,d,d,p,a,c,r,w,w,r,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w
3028.9,3411.3,3759.4,3945.4,4189.7,4352.1,4511.9,4581.7,4648,4753.8,4853.2,4923.4,5238.9,5413.2,5574.2,5758.8,6062.2,6216.4,6368.8,6437.1,6504.2,6610.1,6711.3,6783.6,7090.2,7257.6,7409.9,7618.2,7918.9,8064.8,8223.9,8291.7,8359.3,8465.7,8564.7,8641.6,8955.7,9123.1,9352.6,9657.6,9809.8,9954,10026,10288,10437,10595,10774,10926,11068,11140,11414,11563,11742,11897,12270,12419,12554,12626,12891,13044,13225,13422,13568,13725,13795,13863,13967,14068,14140,14596,14746,14957,15122
3135.6,3552.8,3810.2,4040,4238.8,4420.9,4558.8,4630.9,4706.3,4809.4,4909.5,5070.8,5296.2,5489.4,5676.4,5942.8,6118.5,6283.8,6415.5,6486.2,6568.2,6669.4,6769.1,6929.7,7146.5,7339.2,7536.4,7792,7978,8136.7,8270.1,8344.7,8422.2,8523,8623.1,8784,9020.2,9264.8,9531.4,9712.8,9884.4,10013,10171,10415,10491,10664,10838,10998,11129,11291,11540,11615,11807,12113,12324,12491,12613,12773,13021,13100,13291,13476,13642,13772,13844,13924,14030,14125,14287,14723,14801,15021,15321
