l,l,l,l,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c
2183.9,2407.1,2565.9,2812.3,3141.3,3617.7,3988.5,4172.5,4368.8,4753.9,4925.8,5087.3,5159.4,5226.7,5328.1,5433.4,5503.2,5826.1,6023.4,6223.1,6377.2,6537.1,6605.7,6677.8,6779.3,6883.3,6952.8,7264.9,7426.4,7641.4,7937.4,8095.5,8253.4,8324.4,8394.1,8497.5,8604.7,8678.2,9008.2,9187.8,9361.3,9743.5,9894.8,10054,10124,10194,10303,10404,10473,10758,10905,11098,11308,11470,11635,11703,11773,11879,11986,12065
2295.7,2474.2,2682.9,2948.8,3293.6,3796.1,4042,4278.8,4590.8,4811.7,4997.9,5136.6,5206.9,5286.2,5396.8,5490.4,5654.8,5884.8,6092.6,6280.2,6451.4,6585.4,6657.8,6741.2,6845.8,6944.2,7106.2,7321,7564.5,7788.1,7998.7,8170.1,8303.4,8376.6,8458.8,8566.6,8665.6,8828.3,9064.3,9274,9590.8,9801.7,9969.3,10104,10176,10259,10367,10464,10627,10887,10963,11161,11362,11539,11684,11755,11837,11948,12046,12213
