l,l,l,r,l,l,r,p,d,d,d,p,a,c,r,p,d,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p
1980.5,2915.1,3288.5,3596.6,3769.2,4230.2,4562.7,4725,4872.2,4942.5,5009.1,5114.3,5214,5284.1,5578.6,5724.6,5880.4,6123.8,6485.2,6635.2,6788.1,6856.9,6925,7030.7,7129.6,7200.8,7499.9,7667.7,7858,8007.1,8162.7,8230.3,8298.7,8403.8,8505.4,8575.8,8878.6,9052.3,9224.5,9568.1,9717.3,9871.5,9940.8,10008,10115,10215,10290,10786,10948,11151,11512,11677,11817,11889,12140,12286,12477,12676,12832,12979,13055,13330,13480,13621,13689,13758,13866,13966,14038,14479,14644,14808,14876,14946,15052,15153,15226,15552,15706,15862,15935,16335,16482,16672,17252,17411
2026.4,2956.8,3405.6,3643.1,3823,4423.3,4612,4793.7,4919.7,4993.3,5073.7,5175,5272.2,5430.1,5636.8,5799.3,5936.7,6356,6541.5,6702.3,6835.7,6904.3,6984.6,7087.8,7187.8,7349,7557.2,7735.4,7914,8079,8212,8280.5,8357.2,8466.5,8562.4,8717.6,8932.9,9156.4,9442.8,9627.3,9792,9923.8,9993.7,10075,10175,10274,10433,10841,11055,11368,11572,11748,11877,12037,12261,12344,12541,12734,12905,13038,13202,13456,13537,13670,13742,13824,13928,14025,14186,14534,14714,14855,14930,15014,15114,15211,15374,15604,15776,15922,16087,16464,16538,16736,17299,17484
