r,w,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c
1997.8,2285.8,2619.3,2778.4,2937.9,3005.3,3071.5,3170.3,3272.7,3341.6,3623.6,3799.2,3954,4107,4175,4241.9,4344.7,4445.8,4514.8,4787.5,4927.1,5091.3,5254.6,5564,5711.2,5861.1,5929,5996.2,6095,6197.7,6268.7,6550.5,6736.8,6886.1,7044.3,7113.6,7180.8,7279.6,7383.8,7451.1,7739.2,7920.9,8075,8235.8,8304.8,8372.5,8474.1,8578.4,8645.1
2066.1,2493.5,2690.4,2854.8,2987,3057.3,3136.8,3239.2,3328.8,3493.6,3699.3,3866.9,4030.6,4158.3,4226.5,4307.4,4411.3,4503.7,4665.9,4914.7,4989.7,5160.8,5461.4,5628.9,5785.6,5913.3,5984,6063.1,6163.3,6257.7,6418.9,6626,6803.3,6961.8,7095.7,7169.1,7244.4,7350.4,7445.7,7604.9,7809.2,7991.5,8155,8286.6,8363.4,8440,8543.3,8636,8802.3
