r,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,l,w,r,p,d,d,d,p,a,c
1991.7,2507.1,2791.3,3010.6,3178.8,3351.6,3422.7,3491.7,3591.7,3701.9,3771,4097.3,4268.3,4431.4,4500.9,4570,4672.2,4781.3,4850.8,5194.6,5393.6,5551.2,5716.3,5786.1,5855.3,5959.6,6068.7,6138.2,6452.9,6660.7,6976.9,7141,7312.6,7384.1,7453.5,7559.3,7668.8,7739.1
2062.7,2578.8,2860.7,3083.4,3257.9,3403,3478.2,3559.7,3666.5,3764.2,3932.3,4167.6,4362.1,4480.7,4556.6,4636.4,4746,4843.8,5011,5266.5,5463.3,5633.9,5767.3,5840.7,5923.4,6031.8,6131.8,6300.3,6526.8,6845.9,7050.9,7227.9,7364.2,7441.4,7522.9,7633.9,7726.2,7901.1
