l,l,l,l,l,l,l,w,w,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,x,y,l,r,p,d,d,d,p,a,c,l,r,p,a,c,x,x,r,p,d,d,d,p,a,c,r,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y
3763.8,3919.7,4075.3,4313.3,4505.4,4709.2,4937.2,5252.9,5738.2,6094.9,6285.2,6475.8,6855.9,7010.9,7177.3,7246.6,7316,7418.1,7522.7,7593.5,7938.9,8104.7,8286.8,8637.9,8811.8,8968.8,9039.2,9106.7,9210.3,9314.4,9392,9713.7,9901.1,10274,10431,10589,10658,10726,10834,10936,11004,11286,11432,11611,11808,11963,12103,12176,12427,12574,12746,12939,13093,13237,13316,13573,13720,14015,14160,14379,14584,14739,14898,14968,15038,15140,15244,15317,15672,15936,16091,16245,16315,16612,16759,17314,17476,17644,17713,17783,17886,17991,18061,18566,19334,19508,19772,19930,20086,20155,20223,20329,20433,20503,20878,21022,21212,21391,21540,21676,21748,22046,22200
3799,3958.1,4198,4397.6,4604.6,4823.8,5083.9,5394.4,5895.8,6151.1,6381.8,6680.1,6911.7,7083.1,7226.6,7300.7,7381.2,7486.8,7585.4,7739.2,7995.4,8210.9,8498.2,8700.7,8886.7,9017.7,9088.9,9172.7,9277.9,9374.4,9538.4,9793.2,10124,10331,10504,10638,10709,10791,10892,10995,11155,11415,11491,11675,11868,12039,12166,12329,12553,12632,12815,13002,13167,13299,13460,13701,13781,14142,14222,14444,14645,14819,14947,15020,15103,15208,15303,15466,15735,15992,16168,16306,16473,16739,16820,17371,17547,17694,17766,17850,17953,18050,18215,18621,19392,19639,19840,20003,20134,20205,20290,20399,20492,20659,20999,21078,21276,21449,21617,21736,21901,22179,22258
