l,l,l,l,l,w,w,w,r,l,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c
1998.9,2312.2,2451,2622.6,2785.2,2966.1,3267,3529.1,3850.2,4041.3,4200,4411.2,4748,4909.8,5068.2,5138.2,5206.8,5308.7,5414,5482.8,5784.5,5942.8,6099.4,6430.5,6588,6751.5,6820.9,6891.5,6994.3,7099.1,7168.6,7444.4,7593.2,7767.5,7962.1,8118.6,8260.2,8339.7,8596.8,8743.1,8928.6,9134,9289.3,9455.4,9526,9594.9,9699.6,9804.9,9873.6,10182,10347,10528,10840,10990,11133,11204,11474,11623,11827,12011,12168,12325,12395,12465,12567,12674,12745,13215,13378,13566,13919,14075,14233,14304,14374,14478,14584,14653
2029.8,2366.3,2527.3,2694.4,2886,3131,3400,3693.2,3911.3,4119.7,4332.8,4609.3,4812.1,4983.6,5116.7,5189.9,5269.9,5378.6,5475.4,5638.2,5846.2,6034,6308.4,6497.7,6664,6799.7,6874.3,6957.2,7060.6,7158.4,7319.7,7574.7,7651.3,7837.4,8024.6,8194.8,8319,8482.4,8726,8803.8,8997.1,9199.4,9365.8,9506.1,9580.6,9658.7,9767.5,9866.3,10026,10248,10448,10718,10903,11065,11192,11362,11606,11685,11895,12078,12244,12374,12448,12529,12638,12735,12899,13281,13488,13768,13989,14156,14286,14359,14440,14546,14645,14805
