l,l,w,w,w,r,l,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,r,p,d,d,d,p,a,c,r,p,a,c,l,r,p,d,d,d,p,a,c,x,y,l,w
2736,2880.6,3054.6,3383,3732.3,4060.1,4239.9,4426.4,4665.7,4827.3,4985.4,5056.5,5123.7,5224.8,5330.2,5400.5,5710.1,5876.1,6049.6,6359.1,6519.1,6679.9,6749.7,6817.8,6925.1,7027.4,7095.9,7399.7,7561.8,7736.5,8088.6,8247.6,8404.9,8474,8543,8651.5,8754.3,8824.1,9119,9283.6,9439.1,9508.3,9769.9,9919.5,10100,10302,10453,10612,10682,10752,10855,10963,11031,11375,11541,11765,12614,12767,12926,12994,13064,13167,13276,13345,13613,13763,13954,14138,14292,14428,14499,14804,14963,15126,15196,15266,15369,15475,15548,15866,16018,16176,16246,16537,16759,16917,17076,17145,17213,17318,17426,17495,17964,18109,18289,18441
2799.2,2959.8,3204,3585.5,3910,4114.6,4345.5,4530.6,4725.5,4896.4,5034.5,5109.4,5187.1,5292.3,5390.9,5551.5,5772.7,5979.1,6243.2,6418.5,6590.4,6728.3,6803.3,6878.1,6987,7081.8,7244,7457.3,7665.7,7962.9,8153.7,8320.8,8451.6,8528.9,8605.8,8716.1,8811.6,8977.3,9177.8,9352.6,9496.3,9663.1,9896.5,9974.2,10164,10358,10524,10662,10733,10814,10920,11022,11182,11437,11654,11996,12675,12836,12971,13046,13125,13234,13330,13495,13747,13821,14025,14204,14369,14488,14656,14869,15038,15174,15249,15330,15436,15532,15696,15922,16091,16234,16399,16604,16823,16991,17128,17199,17278,17388,17483,17648,18089,18167,18358,18631
