l,l,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,r,p,a,c,x,y
1988.6,2610.8,3036.9,3318.8,3498.9,3746.2,3900.6,4057.8,4126.3,4192.4,4296.8,4395.1,4468.7,4750.6,4904.5,5063.1,5129.5,5195.9,5298.8,5394.8,5470.9,5731.2,5876.7,6059.2,6239.4,6398.7,6541.6,6610.1,6675.9,6780.9,6878,6947.7,7209.8,7357.5,7525.2,7714,7863.7,8012.1,8079.2,8146.9,8248,8348,8418.8,8716.3,8874.6,9208.8,9356.7,9509.2,9577.8,9645.7,9751.9,9850.6,9926.3,10249,10398,10538,10609,10924,11067,11268,11469,11618,11756,11831,12098,12245,12604,12758,12904,12974,13255,13404
2026,2661.6,3171.6,3364.9,3616.4,3798,3967.9,4106.6,4173.8,4252.3,4350.5,4451.8,4612.5,4803.4,4975,5110.2,5179.5,5258.1,5354.3,5453.3,5611.9,5854,5928.9,6117.3,6294.8,6464.1,6587.6,6658,6737,6841.2,6934.2,7093.5,7331.5,7409.1,7586.6,7765.6,7932,8057,8128.4,8207.2,8310.1,8404.9,8552.8,8778.3,9071.6,9263.2,9429.9,9560.3,9630.7,9706.2,9812.6,9906.5,10060,10307,10469,10595,10754,11046,11121,11333,11525,11687,11815,11976,12221,12303,12666,12833,12964,13128,13378,13458
