l,l,l,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,d,d,d,p,a,c,r,p,a,c,x,y,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,r,w,r,p,a,c,x,y
2559.8,3684.3,4391.1,4618.6,4939.9,5105.1,5383.5,5543.6,5697.4,5766.7,5834.2,5932.4,6036.4,6103.1,6392.4,6541.2,6699.8,6769.3,6838,6936.3,7041.1,7108.6,7394.2,7566.3,7764.2,7917,8057.1,8125.2,8381.3,8525.5,8690.1,8759.6,8826.3,8926.2,9029.3,9097.2,9382.5,9536.8,9668,9738.8,10001,10145,10313,10379,10448,10550,10654,10722,11021,11192,11380,11531,11668,11738,11992,12140,12303,12511,12663,12811,12879,13141,13284,13433,13503,13572,13675,13781,13850,14153,14314,14475,14544,14612,14714,14822,14889,15194,15357,15507,15576,15851,15998,16191,16394,16550,16694,16767,17076,17248,17538,17694,17836,17912,18203,18355
2617,3729.7,4432.5,4767,4996,5259.8,5444.2,5613.8,5746,5816.1,5895.8,6000.8,6097,6251.7,6456.3,6615,6750,6820.6,6902.5,7006.6,7101.8,7263.2,7462.9,7655,7829.3,7997.8,8118.6,8276.5,8508.6,8590.5,8740.3,8811,8888.4,8993.6,9088.1,9244.7,9446.9,9609.8,9729.4,9887.4,10131,10206,10360,10430,10512,10618,10715,10874,11084,11260,11443,11602,11730,11888,12124,12199,12374,12571,12741,12871,13031,13268,13348,13484,13554,13638,13746,13841,14002,14216,14389,14524,14597,14676,14781,14883,15042,15260,15436,15569,15731,15981,16064,16264,16460,16620,16759,16918,17143,17356,17604,17768,17896,18063,18336,18417
