l,r,r,l,l,w,w,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,a,c,x,x,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l
2014,2919.4,2956.2,6508.3,6678.8,6783.1,7137.9,7488.7,7647.5,7889.3,8060.8,8222.9,8291.2,8358.7,8458.3,8560.4,8628.2,8923,9087.5,9240.8,9308.8,9377,9476.5,9581.6,9649.3,9953.1,10106,10255,10321,10576,10719,10888,11076,11229,11378,11446,11705,11846,12041,12234,12390,12540,12608,12867,13011,13185,13374,13526,13689,13758,13826,13926,14029,14097,14414,14597,14802,14959,15100,15178,15437,15581,15749,15953,16108,16257,16324,16586,16732,16905,17105,17255,17398,17466,17786,17933,18149,18343,18497,18655,18726,18793,18894,19000,19068,19394,19556,19711,19779,20104,20264,20419,20490,20559,20659,20764,20832,21153,21326,21725,21883,22040,22109,22406,22553,22743,22965,23119,23277,23348,23416,23517,23622,23691,24211,24382
2060.1,2952.2,2990.9,6568.2,6764.9,6998.6,7304.9,7546.2,7757.9,7951.8,8131.1,8270.7,8341.7,8421.2,8523.1,8617.7,8781.2,8986.2,9161.4,9289.2,9360.2,9441.6,9544.9,9642.1,9797.6,10012,10180,10315,10474,10698,10781,10956,11142,11299,11438,11597,11829,11908,12109,12297,12465,12603,12760,12996,13073,13250,13437,13600,13739,13808,13890,13991,14091,14248,14479,14665,14868,15033,15163,15322,15565,15644,15822,16018,16177,16317,16477,16716,16799,16975,17171,17333,17461,17622,17916,17997,18213,18411,18571,18705,18776,18858,18965,19059,19222,19459,19633,19772,19936,20168,20342,20470,20542,20622,20730,20826,20984,21218,21434,21786,21959,22100,22266,22540,22617,22812,23030,23197,23327,23401,23480,23585,23684,23846,24275,24469
