w,w,w,w,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,l,r,p,a,c,x,y,l,r,p,a,c,r,w,r,p,a,c,r,p,d,d,d,p,a,c,r,p,a,c,r,p,a,c,r,p,a,c
2142.5,2415.2,2687.3,3007.9,3412.8,3584.1,3840,3998.7,4161.8,4231.6,4299.8,4400.8,4505.9,4583,4877.7,5045.7,5240.9,5584.9,5738.6,5905.2,5975.9,6239.9,6387.2,6581,6765.7,6926.8,7089.1,7157.9,7227.9,7329.7,7434.8,7508.2,7804.5,7960.3,8128.9,8197.5,8268.7,8371.6,8477.7,8551,8841,9035.6,9185.5,9329.1,9392.4,9671.2,9819.2,10006,10204,10357,10502,10574,11039,11205,11542,11696,11843,11922,12220,12373,12537,12606,12676,12778,12885,12956,13269,13431,13570,13643,13943,14102,14249,14321,14655,14809,14967,15039
2274.2,2541.8,2824.5,3211.8,3459.9,3701.7,3895.8,4069.1,4209.4,4279.8,4363.1,4469.8,4563.8,4725.2,4938.8,5159.5,5464.3,5641.4,5810.2,5961.9,6127.2,6368.7,6445.1,6646,6827,7000.1,7139.9,7211,7290.5,7394.4,7495.8,7653.6,7865.3,8034,8179.5,8250.9,8332.1,8440.1,8538,8697.7,8907.3,9091.8,9253.5,9375.8,9539.1,9795.2,9871.9,10068,10260,10427,10560,10719,11094,11398,11606,11770,11905,12067,12281,12445,12587,12659,12736,12841,12942,13102,13329,13506,13628,13795,14004,14174,14308,14474,14715,14879,15025,15191
