w,w,r,l,r,p,d,d,d,p,a,c,r,l,l,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,w,r,l,w,r,p,d,d,d,p,a,c
1869.7,2163.6,2491.4,2655.8,2884.1,3044.8,3195.1,3263.8,3332.6,3433.8,3532.8,3605.4,3893.7,4054.9,4214.3,4401.7,4721.6,4872.9,5010.8,5086.8,5340.3,5486.6,5652.2,5836,5986.1,6134.8,6202.8,6270.8,6375.8,6475,6544.1,6843.3,6997.7,7155.1,7224.7,7493,7640.8,7802.6,7993.5,8143.7,8288.6,8365.6,8635.4,8785.3,8966.6,9154.8,9308,9466.5,9533.2,9601.5,9709.7,9811.2,9883.1,10234,10400,10769,10916,11074,11144,11213,11320,11422,11491,11887,12036,12230,12401,12876,13058,13238,13612,13764,13925,13994,14062,14170,14270,14346
2005.6,2337.5,2539.9,2757.8,2930.6,3115.4,3242.7,3315,3391.8,3491.6,3589.9,3752.1,3949.3,4138.3,4318.8,4606,4783,4940.9,5070.2,5229.7,5466.8,5540.5,5716.2,5889.7,6055,6184.3,6253.8,6334.1,6438.3,6533.5,6686.8,6906,7069.8,7212.3,7374.4,7619.5,7698.4,7872.9,8048.8,8215.2,8346.9,8510.7,8763.9,8839.1,9027.3,9212.4,9380.7,9510.8,9584.9,9667.5,9771.5,9867.9,10029,10283,10621,10826,10992,11123,11196,11272,11383,11479,11641,12012,12091,12297,12589,12927,13134,13463,13668,13837,13973,14048,14128,14232,14328,14491
