l,l,w,r,p,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,l,w,r,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,l,r,p,a,c,r,w,r,p,d,d,d,p,a,c
2130.8,2603.1,2844.9,3285,3367.8,3432.3,3795.3,3963,4120.5,4189.8,4256.2,4357.7,4460.2,4537.4,4823.7,4996,5142.2,5468.3,5625.1,5785.1,5854.1,5921.8,6021.9,6126.6,6193.7,6495.7,6664.1,6854.6,7223.6,7383.5,7532.7,7601.4,7862.3,8007.5,8192.2,8352.2,8680.5,8836.6,8982.4,9052.3,9327.3,9475.7,9648.9,9840.9,9991.3,10135,10204,10471,10622,10770,10840,10907,11008,11112,11179,11477,11691,11847,11988,12058,12347,12510,12868,13027,13188,13257,13325,13424,13531,13599
2170.2,2652.4,2994.4,3338.8,3411.1,3639.8,3854.3,4036.7,4169.5,4238.6,4321.5,4424,4521.1,4682.7,4885.8,5068.5,5358.9,5534.7,5703.3,5833.6,5906.6,5986.2,6090.2,6187.6,6346.3,6560.8,6746.4,7083,7290.4,7462,7596,7754.5,7993.8,8070.9,8263.2,8557.2,8741.3,8913.9,9044.3,9212.8,9459.1,9537.3,9719.9,9907.5,10068,10197,10360,10610,10687,10819,10893,10972,11077,11173,11336,11549,11759,11919,12050,12210,12413,12719,12935,13106,13240,13310,13390,13495,13592,13752
