l,w,l,w,l,l,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c
1980.8,2717.2,3109.8,3339,3636.7,3870.4,4091.2,4274.5,4439.9,4509.3,4575.4,4676.7,4782.2,4853.6,5194.5,5370,5563.4,5718.1,5878.7,5947.1,6015.7,6122.5,6223.6,6294.2,6630.4,6788.3,6952.1,7020.8,7088.2,7191.1,7299.5,7368.9,7691.7,7838.1,8015.1,8212.2,8564.2,8723.2,8882.8,8952.6,9020.1,9128.6,9234.4,9306.2,9933.9,10099,10310,10461,10625,10694,10764,10872,10977,11049,11388,11551,11709,11779,11849,11954,12061,12129
2018.3,2842,3154.3,3461.3,3687,3932.2,4146.3,4347.8,4487.5,4559.2,4634.9,4740.2,4837.8,5007.1,5258.3,5437.9,5624.9,5793.1,5927.2,5998,6079.4,6180.8,6284.1,6447.9,6687.5,6861.8,7001,7074.7,7150.4,7263.2,7360.3,7525.1,7822.2,7894.8,8079.8,8395.9,8621.4,8795.8,8931.4,9004.6,9085.3,9186.2,9296.5,9455.9,9990,10181,10365,10533,10676,10751,10829,10935,11035,11201,11452,11626,11758,11833,11916,12022,12119,12287
