l,w,w,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,r,w,r,p,d,d,d,p,a,c,r,p,a,c,r,w,w,r,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
3958.2,4203.3,4524.4,4853.6,5025.8,5257.9,5421.4,5578.9,5645.4,5711.1,5817,5914.6,5981.8,6278.4,6438.9,6595.3,6664.4,6731.5,6829.5,6933.6,7001.4,7305.7,7480.2,7657.4,7810.2,7969.1,8038,8106.2,8206.8,8310.2,8377.3,8664.6,8850.3,9008.4,9172.8,9241.1,9308,9409.3,9512.9,9579.1,9903.2,10068,10231,10300,10367,10469,10573,10640,11297,11451,11633,12016,12182,12335,12403,13836,13991,14202,14356,14505,14572,14640,14741,14844,14911,15211,15362,15494,15564,15858,16022,16188,16493,16643,16793,16861,17122,17270,17449,17637,17784,17926,17995,18282,18428,18610,18787,19178,19336,19498,19568,19636,19738,19844,19912
4083.8,4360.6,4694.6,4908.9,5124,5311.8,5489.7,5628.5,5697.3,5773.2,5877.4,5971.8,6132.7,6346.2,6513.9,6647.4,6717.9,6793.4,6898.8,6992.2,7153.3,7368.3,7547.2,7722.2,7888.2,8018.8,8089.9,8170.6,8275.9,8370.7,8527.7,8730.6,8915.2,9087.9,9220.6,9292.3,9371.7,9476.8,9571.8,9732,9968.4,10142,10280,10351,10433,10538,10634,10791,11358,11545,11835,12084,12258,12395,12557,13888,14097,14264,14423,14551,14626,14705,14804,14901,15057,15268,15433,15555,15715,15920,16122,16376,16557,16715,16855,17018,17252,17334,17522,17702,17861,17987,18149,18413,18491,18679,19025,19242,19410,19548,19620,19699,19807,19905,20066
