l,w,r,w,r,w,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
1993.7,2942.9,3396.3,3567.5,3864.8,4040.7,4236.6,4524.2,4677.4,4832.8,4901.4,4969.9,5070.2,5175,5243.3,5535.4,5697.7,5860.7,5930.4,5999.1,6101.4,6206.8,6274,6592.3,6751.7,6927.9,7246.8,7404.8,7565.8,7636.1,7704.4,7807,7915.6,7985.7,8301.6,8461.5,8678.7,8835.9,8980.2,9051.1,9320.6,9467.4,9643.9,9849.4,10002,10155,10226,10296,10398,10506,10575,10867,11015,11202,11438,11590,11750,11820,11890,11994,12101,12170,12516,12675,12836,12908,12976,13079,13188,13256,14039,14190,14413,14570,14722,14792,15077,15226,15406,16039,16194,16343,16414,16683,16836,17041,17242,17396,17555,17625,17694,17797,17904,17973
2027.1,3113.6,3455.4,3689.3,3933.5,4156,4400.3,4592.4,4753.4,4880.5,4951.6,5033.7,5139.7,5235.8,5398.5,5602.9,5772.8,5908,5982.8,6063.4,6167,6263.2,6430.5,6658.4,6860.9,7126.8,7310.9,7478.5,7617.2,7688.9,7768.8,7877,7977.2,8140.9,8367.2,8560.9,8753.2,8913.3,9042.5,9206.3,9445.7,9525.8,9715.8,9917.4,10072,10206,10278,10360,10467,10567,10731,10999,11079,11272,11503,11667,11801,11874,11954,12061,12160,12323,12585,12751,12887,12958,13041,13149,13245,13411,14097,14284,14480,14644,14783,14945,15209,15292,15480,16101,16266,16402,16567,16816,16897,17107,17309,17470,17604,17679,17760,17867,17967,18127
