l,l,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,r,p,d,d,d,p,a,c,r,w,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
1983.8,2660.3,2935.7,3296.6,3648.6,3822.6,4035.2,4340.2,4502.2,4669,4739.2,4806.1,4907.4,5012.6,5080.7,5384,5549,5713.1,6030,6183.9,6341.7,6412.9,6481.8,6584.4,6690.4,6759.5,7064.9,7234.8,7443.7,7600.1,7745,7823.8,8149.5,8294.7,9030.5,9199.3,9456.8,9613.1,9772.7,9842.7,9912.8,10014,10123,10190,10531,10699,10925,11317,11482,11625,11704,11977,12133,12290,12360,12430,12534,12641,12710,13014,13186,13378,13826,13985,14134,14207,14513,14660,14853,15100,15259,15460,15530,15598,15701,15808,15876
2029.5,2708.9,3103.8,3476.5,3710.5,3927.2,4198.9,4395.7,4573.7,4715.3,4785.2,4866.6,4974.1,5071.5,5229.6,5445.3,5638,5908.7,6095.2,6258.3,6391.9,6465.1,6546.5,6655.7,6751.8,6909.9,7131.1,7327.6,7507.3,7675.3,7803.3,7967.1,8279.4,8358.7,9094.2,9311.3,9523.1,9686,9822.8,9894.3,9976.7,10084,10183,10346,10594,10831,11177,11385,11558,11687,11847,12041,12208,12342,12413,12493,12602,12698,12860,13079,13303,13576,13893,14062,14194,14360,14644,14723,14925,15168,15336,15510,15583,15664,15771,15867,16032
