l,l,w,r,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
1972,2505.1,3006.4,3400,3634.1,3905.1,4070.2,4233.8,4302.2,4368.8,4471.1,4576,4643.2,4974.8,5149.3,5301.8,5644.3,5801.2,5959.4,6028.5,6096.7,6200.9,6307.7,6383,6678.3,6826.1,7022,7374.9,7560.8,7900,8056.7,8218.9,8288.1,8355.3,8461.5,8560.4,8628,9004.8,9147.8,9328.2,9525.2,9680.9,9820.3,9892.6,10183,10330,10526,10724,10879,11043,11113,11180,11284,11389,11458
2042.5,2559.6,3179.9,3456.4,3762.7,3966.9,4141,4285.3,4352.9,4433.7,4534.2,4632.7,4795.2,5034.1,5242.2,5513.1,5707.7,5875.6,6009.2,6080.7,6167.3,6271.1,6363.2,6527.6,6806.3,6887,7084.8,7462.5,7767.2,7966.5,8137,8269.8,8339.6,8420.3,8525.2,8619.4,8782,9130.6,9203.2,9398.1,9586.8,9759.5,9881.8,10042,10314,10389,10594,10781,10956,11093,11162,11246,11355,11449,11619
