l,w,w,r,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,l,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,r,w,w
5055.2,5308.5,5650.4,5972.4,6148.9,6422.6,6590.9,6748.4,6816.5,6881.8,6980.8,7082.9,7150.7,7433,7604.8,7775.7,7926,8069.6,8145.9,8402,8544.2,8722.8,8900,9047.5,9207.7,9275.3,9341.9,9440.2,9543.3,9611.6,9909.8,10070,10392,10541,10694,10762,10828,10930,11033,11099,11391,11579,11739,11879,11946,12207,12349,12525,12718,12874,13026,13096,13163,13263,13368,13434,13763,13935,14177,14333,14472,14541,14940,15086,15278,15522,15680,15833,15903,15972,16072,16177,16246,16538,16682,16874,17070,17232,17393,17462,17530,17631,17737,17805,18449,18612,18853,19005,19143,19214,19537,19727,19882,20043,20114,20181,20283,20391,20459,20950,21114,21473,21627,21790,21862,21929,22032,22140,22207,22740,22916,23130
5126.3,5461,5809.3,6031.3,6300.6,6485.8,6662,6794.8,6865.3,6944.4,7045,7142,7302.1,7495.1,7671.1,7839.2,8000.1,8131.8,8290.9,8523.7,8606.8,8792,8971.2,9127.3,9256.8,9327.4,9406.6,9508.9,9603.9,9762.5,9981.4,10281,10459,10618,10744,10815,10892,10996,11092,11245,11459,11645,11815,11939,12100,12332,12412,12598,12784,12951,13076,13147,13227,13330,13427,13585,13835,14024,14243,14411,14529,14696,15068,15151,15345,15588,15753,15884,15956,16036,16141,16236,16397,16664,16747,16944,17138,17311,17441,17512,17595,17702,17798,17955,18515,18724,18921,19078,19207,19367,19605,19791,19960,20093,20168,20248,20353,20451,20612,21017,21315,21538,21697,21842,21913,21995,22103,22200,22361,22802,23036,23316
