y,w,l,l,l,w,w,r,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,d,d,d,p,a,c,r,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,l,r,p,a,c,r,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,w
1984.1,2210.2,2477.9,2645.1,2902.1,3132.2,3432.5,3821.8,4006.9,4337.1,4493.2,4644.8,4713.8,4781,4880,4983.3,5054.4,5341.6,5498.4,5642.9,5711.8,5779.4,5880.2,5984.7,6057.2,6340.8,6510.7,6687.3,7032.2,7183.8,7320.3,7397.7,7657.3,7802.9,7946.5,8015.8,8083.6,8188.4,8287.4,8359.5,8625.7,8773,8942.7,9096.2,9414.4,9561.8,9717.8,9787,9856.1,9961.6,10062,10133,10759,10911,11057,11129,11398,11543,11725,11938,12094,12245,12315,12580,12730,12907,13257,13403,13542,13618,13880,14028,14174,14244,14312,14419,14521,14590,14925,15074,15214,15287,15605,15766,15989,16138,16293,16362,16433,16536,16641,16714,17043,17198,17358,17425,17495,17602,17701,17774,18379,18542,18884,19036,19192,19262,19330,19438,19540,19612,19968,20200,20357,20510,20585,21235,21406,21740,21894,22052,22127,22404,22555,22749,22979,23136,23283,23356,23805,23954,24169,24354
2065.3,2355.1,2547.8,2779.9,2960,3283.8,3620.1,3877.1,4201.1,4392.8,4565.3,4696.2,4763.9,4842.8,4945.8,5041.2,5200.7,5400,5567,5691.8,5764.6,5842.9,5949.5,6042.5,6204.8,6400.8,6599.6,6907.1,7088.7,7255.9,7381.2,7542.2,7778.8,7857.9,7998,8068.6,8150.5,8254.7,8345.7,8503.8,8752,8829.4,9003.3,9290.6,9472.1,9633.5,9764.5,9839.5,9921.7,10023,10119,10279,10813,10980,11117,11277,11521,11598,11789,11997,12167,12305,12465,12712,12788,12975,13306,13476,13604,13763,14006,14082,14223,14299,14375,14484,14579,14739,14979,15149,15275,15438,15662,15868,16052,16217,16342,16414,16497,16599,16699,16865,17106,17272,17406,17477,17561,17667,17760,17921,18432,18754,18941,19104,19243,19315,19396,19503,19599,19761,20030,20259,20427,20571,20734,21288,21496,21794,21970,22113,22278,22530,22608,22820,23032,23209,23344,23507,23928,24010,24232,24547
