w,w,l,r,w,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,l,r,l,w,r,p,a,c,x,y,r,p,a,c,x,y,l,w
2118.9,2421.4,2775.2,3206.8,3351.2,3567.4,3944.8,4103.7,4259.9,4329.4,4397,4504.2,4605.5,4678.2,4992.6,5149.5,5318.5,5387.4,5455.8,5564,5664.2,5735.7,6045.3,6210.5,6394.3,6723.2,6874.6,7036.8,7106.1,7175.7,7282.4,7382.6,7453.2,7755.1,7914.7,8062.6,8133.3,8417.6,8566.1,8766.4,8964.7,9116.4,9257.9,9332,9623,9773.6,9967.9,10142,10482,10644,10804,10874,10941,11047,11149,11221,12088,12258,12493,13187,13368,13765,13898,14044,14118,14385,14535,15023,15174,15321,15394,15672,15823,16014,16181
2260.1,2603.6,2811.8,3239.2,3475.5,3798.5,3999.3,4172.1,4312.3,4381.7,4462,4567.3,4664.8,4824.2,5050.2,5220.7,5364.7,5440.7,5522.7,5626.3,5722.8,5884.8,6099.2,6311.1,6591.8,6776.1,6947.6,7085.9,7158.6,7240,7346.4,7439.4,7595.9,7813,7987.1,8120.2,8280.4,8541.4,8621.5,8829.3,9019.8,9186.6,9319,9481.5,9750.4,9828.5,10034,10336,10536,10718,10855,10928,11006,11112,11207,11363,12132,12348,12545,13271,13563,13802,13968,14104,14268,14510,14589,15075,15243,15381,15546,15805,15882,16077,16379
