l,w,w,r,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,x,y,l,w,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
1984.8,2822.6,3596.5,3986.8,4185.4,4517.8,4697.3,4861.7,4930.8,4998.6,5105.9,5206.8,5277.4,5599.8,5776.3,5957.7,6118.4,6280.8,6349.4,6418.4,6523.7,6623.6,6693.9,7006.5,7180.1,7355.2,7706.5,7863.3,8023.7,8092.5,8161.1,8269.8,8369.4,8441.1,8755.8,8962.4,9121.3,9283.1,9353.1,9423.7,9529.1,9630.1,9700.8,10014,10161,10361,10543,10784,11218,11375,11542,11611,11679,11787,11888,11961,12433,12589,12750,12819,12890,12999,13099,13171,13575,13725,13951,14173,14332,14492,14564,14879,15028,15226,15443,15604,15780,15848,15916,16023,16127,16199
2022.7,2975.7,3715.3,4037.4,4353.3,4573.1,4765.3,4910.6,4981.4,5067.1,5170.8,5265.1,5426.5,5660.5,5833.8,6022.4,6190.4,6329.2,6401.8,6482.7,6587.9,6682,6844.1,7059.3,7262.8,7562.6,7761.8,7939.3,8072.5,8147.4,8226.5,8331.4,8427.3,8594.7,8821.7,9017.3,9197.9,9333.8,9409.3,9489.1,9592.1,9687.8,9852.5,10141,10219,10427,10679,10981,11276,11447,11593,11665,11748,11850,11950,12113,12494,12664,12800,12876,12956,13062,13158,13321,13701,13783,14016,14228,14406,14551,14719,15013,15086,15290,15500,15677,15833,15904,15984,16085,16186,16351
