l,l,l,l,l,w,w,w,r,w,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c
1969.8,2142.1,2285.6,2467.7,2796.8,2953.3,3321.8,4011.8,4428.4,4603.5,4973,5161.8,5361.3,5728.8,5896.8,6060.9,6131.8,6203.6,6303.8,6410.9,6485.4,6814.9,7014,7223.9,7383.1,7542.9,7613.2,7682.2,7786.3,7893.9,7964.5,8293.9,8472.6,8627.3,9013.1,9181.2,9346.8,9417.2,9486.6,9589,9696.9,9767.4
2019.5,2194.4,2363.3,2521,2851.5,3117.4,3488.8,4167,4482.6,4776.4,5032.1,5266,5554.1,5792.8,5970.6,6110.2,6180.2,6263.4,6371.8,6469.3,6635.4,6874.7,7090.7,7280.9,7458.3,7592.2,7666.2,7747.6,7854.6,7953.5,8115.2,8357.8,8549.2,8850.6,9076.2,9254.5,9397.2,9469.8,9547.9,9659.8,9755.4,9919.2
