w,l,l,w,l,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,l,w,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,l,w
1621.5,1925.7,2190.9,2564.4,3348.8,3571.1,3885.2,4045.4,4200,4271.8,4339.7,4445.7,4548.6,4620.5,4945.5,5105.3,5266.8,5337.2,5406,5513.9,5613.3,5690.3,5994,6168.5,6343.5,6613.2,6886.3,7042.8,7193.9,7266.5,7522.3,7673.3,7865.8,8062.4,8210.2,8362.4,8432.8,8501.6,8607.8,8709.1,8785.7,9091.3,9239.8,9431.2,9598.8,9942.8,10091,10253,10321,10392,10499,10603,10676,11214,11375,11738,11899,12056,12127,12196,12301,12403,12477,12779,12928,13139,13288,13603,13763,13924,13995,14066,14172,14276,14347,14798,14968,15144
1762.5,2046.2,2362.3,2730.2,3457.2,3727.2,3939.3,4110.4,4247.4,4318.5,4404,4503,4606.7,4766.9,4998.4,5177.4,5316.8,5388.4,5471.6,5571,5671.2,5834.4,6041.7,6247.4,6492.8,6745.7,6937.9,7110.8,7249.2,7420.4,7647,7728,7925.7,8112.6,8279,8414.8,8480.7,8566.9,8673,8766.5,8929.2,9216.1,9295.9,9497.3,9789.5,9991.5,10164,10300,10374,10454,10557,10660,10822,11269,11595,11799,11972,12106,12178,12260,12362,12463,12626,12905,12981,13203,13461,13659,13836,13973,14049,14129,14235,14333,14496,14846,15056,15340
