l,l,l,w,w,r,l,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,O,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
4816,4983.4,5132,5344.2,5711.1,5992.8,6158.8,6370.8,6678.3,6826.1,6981,7049.4,7116.6,7215.6,7319.8,7392.3,7678.8,7844.5,8040.7,8197.6,8344,8412.7,8671.2,8815.8,8993.9,9169.4,9316.4,9467.6,9536.6,9605,9705.4,9810.7,9878,10163,10314,10670,10818,10974,11042,11109,11210,11314,11383,11641,11787,11967,12139,12290,12422,12493,12764,12910,13092,13266,13613,13771,13929,13999,14069,14170,14275,14342
4873.4,5061.4,5264.1,5543.6,5872.8,6050.7,6283.6,6550.8,6734.6,6897,7025.9,7097,7178.1,7281,7375.7,7541,7743,7919.6,8101.2,8270.3,8403.3,8563.8,8798.1,8871.7,9059.5,9236.2,9388.2,9518.3,9590.3,9667.4,9774.6,9868.2,10019,10226,10554,10735,10887,11024,11096,11172,11275,11373,11533,11765,11846,12031,12202,12361,12483,12645,12896,12971,13161,13469,13678,13846,13978,14052,14135,14235,14335,14492
