y,l,r,r,p,l,l,l,l,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,l
2832.6,2991.5,3833,3889.3,9360.5,9451.5,10428,11396,11734,12198,12484,12640,12793,12861,12927,13030,13129,13204,13493,13669,13838,13992,14143,14210,14278,14383,14481,14553,14839,15025,15195,15544,15694,15855,15922,15989,16093,16193,16263,16525,16668,16844,17022,17171,17319,17393,17830,17974,18150,18312
2874.6,3033.4,3870.8,3920.1,9441.7,9522.6,10468,11435,11812,12345,12534,12704,12840,12908,12988,13087,13187,13337,13547,13729,13899,14061,14191,14262,14341,14445,14539,14690,14893,15099,15386,15600,15764,15902,15972,16054,16151,16251,16402,16648,16722,16901,17075,17244,17379,17538,17954,18028,18203,18395
