l,w,w,w,r,w,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
2203.7,2339.7,2609.9,2910.2,3282.4,3456.9,3804.6,4000.9,4172,4498.9,4660.4,4821.4,4891.6,4960.8,5062.6,5168.8,5236.5,5548.1,5715.5,5886.2,6231.6,6387.8,6548.2,6618.8,6687.8,6794.7,6895.9,6965.3,7279.8,7440.3,7784.5,7936.1,8097.3,8165.1,8234.1,8340.2,8442.8,8515.8,8779.5,8925.6,9110.6,9305.4,9467.2,9608.3,9678.9,9938.9,10089,10320,10510,10664,10805,10874,11138,11289,11490,11702,11860,12016,12086,12155,12258,12362,12431,12728,12875,13138,13324,13481,13635,13706,14168,14316,14523,14680,15129,15282,15450,15519,15589,15691,15798,15866
2246.5,2483.8,2750.3,3073.8,3332.9,3609.9,3865.7,4092.4,4373.4,4564.4,4733.6,4872.4,4945,5026.5,5131.8,5226.8,5390,5604.9,5804.2,6107.2,6289.8,6464.5,6598.3,6670.5,6750.2,6860,6952.9,7118.9,7335.7,7662.7,7847.5,8008.6,8145.2,8218,8298,8405.1,8501.7,8667.7,8903.2,8984.8,9180.9,9368.2,9543.8,9668.8,9833.2,10068,10146,10385,10572,10738,10865,11028,11263,11345,11556,11763,11935,12067,12141,12221,12328,12421,12586,12856,12937,13205,13387,13555,13697,13860,14296,14375,14592,14886,15193,15356,15500,15569,15654,15761,15856,16021
