l,l,l,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,l,w,r,p,a,c,x,y,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,x,y,r,l,r,p,d,d,d,p,a,c,l,r,p,a,c,r,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c
2890.8,3691.3,4228.7,4493.7,4764.7,5143.5,5329.4,5512.7,5788.9,5947.1,6105.8,6175.8,6242.8,6344.3,6450.9,6518.4,6831.9,7005.9,7187.9,7345.9,7506.3,7575,7644,7746.4,7853.6,7922.2,8209.3,8373,8511.1,8587.7,8887.7,9056.6,9221.5,9543.8,9702.2,9859.8,9929.2,9998.6,10101,10207,10275,10578,10745,10934,11278,11433,11573,11653,11909,12057,12225,12293,12361,12464,12570,12639,12959,13118,13271,13340,13618,13763,13943,14160,14312,14472,14543,14612,14714,14821,14889,15336,15481,15743,15891,16638,16800,17053,17207,17364,17433,17503,17606,17713,17782,18067,18265,18420,18564,18633,18969,19142,19431,19584,19728,19801,20134,20282,20471,20697,20851,21015,21085,21154,21260,21366,21436
2921.2,3735.5,4366,4624.9,4938.4,5194.6,5423.3,5657.4,5848.2,6018.2,6154.9,6225.5,6306,6415.4,6509.7,6667,6894,7074.6,7254.5,7417.8,7556.3,7629.6,7709.4,7815.8,7912.7,8073.1,8274.6,8447.2,8573.2,8734.7,8948.9,9145.1,9414.8,9608.9,9779.7,9911.6,9981.9,10064,10171,10262,10424,10644,10855,11149,11343,11505,11633,11797,12041,12124,12273,12345,12424,12531,12628,12793,13025,13196,13331,13493,13745,13824,14014,14222,14387,14521,14593,14677,14778,14879,15043,15462,15540,15875,15953,16696,16920,17120,17281,17412,17487,17566,17671,17775,17934,18137,18332,18497,18623,18785,19036,19267,19497,19657,19793,19959,20263,20342,20541,20762,20924,21067,21138,21219,21329,21428,21589
