l,w,w,r,w,r,p,d,d,d,p,a,c,r,l,r,p,a,c,r,p,a,c,x,y,l,r,p,a,c,r,l,r,p,d,d,d,p,a,c,l,r,p,d,d,d,p,a,c,l,r,p,a,c,x,y,x,y
1987.3,2358.7,2659.9,3047.5,3226.7,3585.2,3744.2,3903.2,3972.8,4041,4148,4248.6,4324.5,4618.9,4778.9,4980.9,5131.8,5287.1,5363.4,5651.1,5800.2,5956.5,6026.4,6298.2,6443.8,6616.3,6804.8,6951.4,7099.2,7161.9,7462.8,7632.5,7827.4,7986.8,8136.1,8206.2,8275.7,8380.2,8477,8553.3,8845.3,9419.8,9574.8,9735.6,9806,9873.5,9978.9,10079,10149,10432,10617,10763,10902,10975,11242,11392,11712,11857
2025.1,2474.5,2813.9,3094.8,3428.2,3641.4,3819.3,3951.3,4021.9,4104.4,4206.3,4307.2,4471.1,4674.6,4854.8,5037.3,5200,5345.4,5504.1,5706.4,5876.8,6015.2,6177.7,6417,6499.4,6676.1,6858.5,7025.2,7148.7,7306.6,7515.3,7711.3,7881.8,8055.2,8181.8,8254.1,8331.6,8439.9,8535.8,8691,8903.7,9473.3,9647.2,9785.9,9854.3,9937.2,10044,10137,10291,10497,10671,10840,10962,11123,11371,11446,11834,11910
