l,l,w,l,l,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,x,l,w,r,l,r,p,d,d,d,p,a,c,x,y,w,w,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c
1988.8,2774.1,3008.5,3314.5,3522.6,3745.3,3909.6,4077.7,4146.7,4216,4322.8,4424.7,4495,4811.6,4978.3,5147,5215.5,5284.2,5389.1,5490.9,5563.3,5884.6,6043.2,6208.9,6278.7,6345.8,6453.6,6556.2,6626.5,6927.8,7078.8,7293.3,7452.9,7862,8045.7,8256.1,8415.3,8575.2,8645.8,8714.5,8821.2,8924.8,8996.8,9384.8,9532,9722.3,9891.2,10128,10520,10682,10859,10928,10997,11104,11206,11279,11848,12007,12172,12244,12313,12420,12523,12595,12931,13081,13287,13449,13772,13929,14107,14177,14247,14356,14460,14532
2056.2,2824.2,3130.3,3367.1,3611.2,3804.4,3982,4126.6,4197.6,4282.2,4383,4482.9,4644.8,4873.9,5048.4,5195.5,5268.2,5349,5453.2,5550.3,5714.9,5941.3,6115.1,6259.8,6329,6411.2,6520.2,6615.2,6779.8,7058.7,7138,7361,7643.1,7920.3,8116.4,8313.2,8492.1,8625.7,8700.2,8780.1,8882.9,8983.2,9147.2,9506,9589.4,9789.4,10027,10337,10577,10758,10908,10983,11065,11170,11268,11430,11906,12084,12223,12299,12380,12485,12581,12746,13058,13140,13357,13602,13831,14005,14154,14230,14310,14420,14520,14686
