l,l,w,r,w,r,p,d,d,d,p,a,c,r,l,w,r,p,d,d,d,p,a,c,r,p,d,d,d,p,a,l,w,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,l,r,p,a,c,x,y,d,d,d,p,a,c,l,r,p,a,c,x,x,l,r,p,a,c,x,y,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c
1868,2109.2,2513.7,2797.8,2981.6,3288.8,3445.6,3605.2,3674.6,3741,3846.5,3946,4021.8,4313.5,4479.2,4641,4991.2,5144.8,5299.8,5368.8,5437.5,5540.2,5639.8,5715.3,6015.5,6168.5,6336.8,6406.2,6473.2,6580.4,6696.3,6907.5,7079.1,7457.2,7611.9,7761.2,7834.4,8108.5,8257.6,8465.8,8638.1,8826.1,8976.3,9044.9,9114.5,9221.5,9320.7,9397.9,9671.9,9820.2,10020,10216,10365,10512,10581,10888,11036,11227,11421,12208,12368,12572,12714,12854,12931,13208,13356,13503,13572,13640,13748,13850,13921,14239,14448,14598,14753,14826,15102,15252,15433,15672,15828,15986,16059,16492,16642,17044,17648,17807,17970,18040,18108,18216,18318,18390,18709,18872,19031,19109,19416,19567,19758,19997,20150,20304,20377
1910.8,2253.5,2644.5,2843.4,3155.7,3342.1,3515.8,3653.9,3722.2,3806.2,3904.1,4004.4,4163.5,4367.7,4564.6,4860.9,5048.2,5209.8,5345.5,5417.9,5501.5,5605.3,5698.2,5862.3,6078,6242.3,6385.7,6459.2,6538.6,6644.7,6726.8,7000.5,7304.7,7511.9,7684.4,7817.5,7981.2,8235.2,8315.6,8524.9,8711.6,8900.4,9027.9,9097.8,9177.1,9282.8,9379.2,9541.6,9799.3,9874.9,10085,10272,10440,10571,10734,11018,11096,11293,11624,12254,12451,12626,12784,12912,13074,13331,13410,13554,13625,13708,13814,13908,14071,14299,14499,14671,14813,14975,15228,15307,15497,15729,15900,16044,16213,16615,16695,17165,17699,17871,18016,18087,18173,18280,18376,18541,18763,18940,19090,19256,19544,19624,19823,20044,20226,20362,20528
