l,l,l,w,r,l,r,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,d,d,d,p,a,c,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,l,w,r,p,d,d,d,p,a,c,r,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,x,y,l,r,p,d,d,d,p,a,c
2550,3835.5,4726.2,5396.9,5858.4,6037.2,6300.4,6473.5,6660.8,6986.7,7141.7,7291.2,7360.7,7425.9,7526.5,7628.5,7696.3,7976.7,8138.5,8308.6,8376.2,8635.2,8777.7,8924.6,8993.7,9059.3,9159.9,9264.7,9331.4,9621.2,9783.7,9945.2,10013,10080,10182,10287,10355,10629,10773,10966,11146,11301,11442,11513,11766,11916,12094,12254,12584,12763,12950,13316,13473,13622,13692,13761,13863,13967,14035,14357,14537,14914,15069,15219,15289,15357,15457,15563,15631,15932,16079,16271,16548,16714,16874,16944,17211,17361,17547,17699,18086,18249,18408,18478,18546,18650,18754,18822,19119,19266,19500,19683,19843,20003,20074,20143,20245,20351,20419
2615,3907.6,4832.3,5544.5,5917,6150,6364.6,6591.4,6869.8,7052.5,7215.6,7341,7409.7,7490.2,7593.8,7686.4,7846.5,8042.3,8212.7,8368,8527.4,8755.8,8836.4,8974.1,9041.7,9122.4,9228.4,9322.5,9481.5,9685.7,9860.9,9996.2,10065,10142,10252,10349,10506,10756,10837,11034,11210,11375,11503,11660,11903,11978,12163,12439,12646,12850,13174,13382,13545,13672,13745,13826,13930,14027,14183,14417,14766,14981,15145,15268,15342,15422,15527,15623,15788,16069,16140,16340,16615,16792,16937,17099,17343,17424,17612,17924,18154,18325,18458,18531,18614,18719,18816,18977,19256,19333,19569,19750,19920,20054,20129,20207,20314,20411,20574
