y,l,l,l,l,w,w,w,w,r,w,w,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,w,w,r,p,d,d,d,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,y,l,r
1998.9,2067.5,2141.1,2303.1,2453.3,2780,3060.4,3430,3781.8,4158.6,4349.1,4554.4,4903.6,5073.4,5233.4,5303.7,5372.2,5473.9,5578.4,5654.8,5945.5,6132.6,6328.2,6482.2,6644.1,6714.3,6783.3,6887.9,6993.2,7062.5,7367.1,7545.7,7739.8,8090.2,8245.6,8402.6,8472.5,8541.2,8644.1,8750,8816.8,9078,9224.9,9395.8,9581.4,9733.9,9888.9,9958,10226,10376,10566,10823,10979,11143,11213,11282,11384,11490,11559,11846,11996,12194,12468
2036,2113.5,2188.4,2371.3,2513.5,2914.8,3219.9,3612.8,3967.8,4222.5,4456.4,4773.7,4968,5149,5281.1,5352.5,5430.4,5540.3,5639.3,5796.6,6006.9,6200.3,6392.8,6558.8,6694.4,6766,6847.9,6952.5,7052.4,7215.3,7430.2,7669.1,7950.2,8152.3,8320,8450.6,8524.7,8605.3,8712.7,8808.8,8967.8,9203.8,9285.2,9464.4,9646,9804.1,9950.2,10115,10356,10440,10633,10882,11052,11190,11264,11344,11450,11549,11710,11980,12055,12259,12530
