l,w,w,w,r,l,r,p,d,d,d,p,a,c,r,l,r,p,d,d,d,p,a,c,r,l,r,p,a,c,x,y,l,w,r,p,d,d,d,p,a,c,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,a,c,x,y,l,r,p,d,d,d,p,a,c,x,x,l,w
5847.2,6043.1,6451.1,7082.6,7370.2,7558.9,7756.4,7917.9,8078.7,8146.2,8214.2,8314.3,8417.9,8485.5,8806.5,8977.8,9165.7,9323.5,9478.5,9547.9,9615.2,9714.9,9821.3,9888.8,10180,10345,10531,10680,10830,10889,11147,11294,11454,11601,11925,12077,12233,12302,12370,12470,12573,12640,12960,13114,13246,13314,13596,13743,13943,14114,14266,14407,14476,14738,14887,15100,15299,15453,15601,15670,15943,16088,16282,16467,16621,16759,16829,17110,17256,17451,17652,17806,17975,18044,18113,18214,18318,18386,18810,18953,19156,19338
5938.8,6199.9,6591.4,7216.4,7434.6,7639.2,7820.2,7991.4,8126.2,8195.1,8277,8382.8,8475.2,8637.6,8872.4,9049.5,9232.8,9399.6,9527.8,9597,9678.6,9784.5,9880.2,10043,10246,10422,10599,10754,10881,11041,11277,11354,11528,11801,11993,12154,12284,12358,12434,12534,12634,12791,13026,13190,13306,13472,13726,13802,14010,14181,14341,14470,14627,14872,14951,15168,15365,15526,15663,15824,16074,16155,16348,16537,16697,16820,16984,17241,17321,17522,17719,17886,18025,18098,18177,18283,18380,18539,18934,19017,19233,19392
