c,c,g,c,c,b,b,b,c,c,b,b,b,b,c,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,e,e,e,e,h,d,k,l
2177.3,2313.2,3207.2,3343.8,3496.5,3646.8,3785.2,3913.4,4043.3,4183.7,4323.8,4479.2,4634.5,4797.4,5005.8,5138.3,5303.4,5461.1,5628.2,5790.7,5949.4,6100.9,6240.6,6396.1,6540.6,6692,6845.2,7002.8,7153.5,7235.7,7346.8,7571.8,7695,7834.6,7974.1,8110.1,8254.7,8406.8,8554.7,8685.2,8817,8965.3,9114.6,9267.9,9351.4,9454.2,9574.8,9665.3,9787.4,9909.2,10044,10166,10228,10393,10514,10663,10806,10959,11115,11245,11391,11523,11630,11752,11814
2199.9,2342.2,3228.2,3372,3525.2,3678.5,3817.1,3949.5,4081.9,4219.4,4378.3,4535,4704.2,4866.9,5047.7,5208.6,5372.2,5528.1,5697.8,5846.9,6004.6,6154.7,6294.7,6449.2,6595.5,6762.8,6921.2,7078.4,7209.9,7301,7407.6,7608.8,7756.3,7898.2,8042.9,8181.1,8326.7,8463.2,8611,8741.2,8892.2,9040,9188.3,9325.7,9415,9517.2,9620.5,9757.4,9879,9970.2,10094,10215,10293,10440,10583,10731,10877,11015,11171,11299,11447,11555,11680,11802,11879
