c,c,c,b,c,c,b,b,b,b,b,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,g,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,h,h,e,h,d,k,l,e,h
2220.4,2352.5,2507.4,2656.5,2810,2930.6,3062.4,3197.5,3336,3481.3,3615.5,3756.5,3897.8,4038.5,4180.5,4322,4454.1,4590.9,4722.4,4866.5,5012.6,5157.4,5241.4,5335.1,5456.7,5547.2,5667,5790,5927,6048.1,6109.5,6280,6397.7,6526.1,6674.2,6826.6,6977.3,7060.2,7158.2,7280.7,7369.2,7740.1,7884.1,8000.6,8148.4,8295.5,8439.2,8588.4,8733.9,8882.3,9012.2,9148.2,9287.8,9418.2,9554.3,9684,9830.2,9983,10145,10290,10431,10564,10672,10795,10858,11014,11140
2249,2382.4,2542,2688.3,2843.6,2970.3,3131.2,3264,3402.6,3550.3,3685.2,3829.1,3963.1,4107.4,4234.6,4375.2,4506.2,4646.3,4796.1,4942.7,5085.6,5213.6,5305.3,5399.2,5499.5,5638.1,5756.2,5853.6,5978.9,6096.6,6175.8,6324.9,6454.3,6599.8,6747.9,6901.3,7036.3,7125.3,7225.1,7327.4,7454.7,7764.3,7926.1,8069.7,8217.1,8363.2,8512.7,8660.8,8808.3,8937.3,9067.2,9202.3,9344.1,9471.8,9609.4,9760,9905.8,10047,10172,10312,10486,10601,10714,10843,10923,11054,11175
