b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
6950.9,7099,7259.7,7428.2,7594.4,7762,7924.6,8070.8,8232.8,8355.1,8504.1,8667.8,8812.3,8961.4,9110.3,9255.8,9383.8,9527.3,9679.9,9841.5,9924.6,10028,10155,10246,10370,10492,10629,10752,10816,10994,11127,11268,11407,11552,11684,11825,11977,12127,12281,12365,12466,12588,12677,12796,12921,13056,13179,13244
6977.3,7137.5,7297.6,7484.2,7637.2,7802.4,7962.7,8117.2,8269.6,8414.1,8558.8,8721.1,8865.5,9015.4,9164.1,9309.5,9456.3,9600.6,9751.7,9899.3,9990.3,10090,10196,10336,10461,10554,10678,10796,10879,11028,11170,11297,11468,11605,11738,11899,12050,12201,12338,12429,12532,12630,12764,12886,12979,13104,13222,13305
