g,b,b,b,b,b,b,b,c,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,k,l,g,g,g,g,g,e,h,d,k,l
5915.8,6084.8,6218.8,6366.6,6494.6,6621.8,6749.9,6863.2,7017.3,7166.1,7304.8,7461.8,7602.2,7730.5,7861.4,7996.2,8124.8,8266,8410.5,8555,8636.9,8733.2,8856.1,8944.8,9065.6,9188.9,9324.3,9443.6,9504.5,9672.8,9788.2,9911.4,10053,10196,10276,10371,10493,10579,10697,10816,10946,11066,11126,11304,11421,11551,11659,11779,11839,11988,12119,12236,12355,12415,12570,12695,12841,12991,13072,13168,13289,13378,13496,13622,13752,13870,13930,14132,14245,14374,14486,14609,14670,14823,14948,15101,15181,15279,15400,15489,15610,15730,15863,15987,16049,16195,16333,16448,16573,16635,16792,16926,17038,17160,17222,17450,17610,17811,17969,18335,18491,18635,18770,18931,18992
5938.5,6119.4,6255.1,6405.2,6529.6,6656,6787.2,6908.2,7079.9,7233,7371.8,7528.7,7654.8,7785.3,7914,8050.9,8200.6,8339.6,8484.4,8614.7,8702.2,8799.3,8902.6,9038.9,9156.2,9249.1,9372.1,9489.2,9572.3,9710.5,9845.1,9983.8,10129,10255,10343,10440,10535,10672,10790,10875,10999,11114,11192,11340,11477,11590,11714,11829,11908,12042,12157,12291,12405,12485,12625,12773,12917,13050,13139,13234,13336,13470,13587,13681,13804,13920,14010,14171,14299,14409,14539,14658,14738,14879,15026,15160,15248,15348,15446,15580,15701,15792,15919,16034,16115,16248,16370,16502,16623,16702,16848,16966,17094,17211,17291,17477,17639,17841,17993,18361,18534,18668,18819,18975,19056
