g,c,c,b,b,c,c,c,c,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,h
3173.9,3334.9,3491.2,3645.9,3808.2,3948.2,4081,4202.6,4347.8,4499.4,4643.6,4792.6,4952.4,5104,5244.4,5379.8,5520.4,5656.7,5800.5,5942.3,6071.7,6221.4,6369.8,6520.3,6602.2,6701.1,6824.9,6915.2,7036.5,7158.1,7290.7,7405.3,7476.5,7626.4,7754.1,7899.8,8044.1,8125.3,8222.7,8345.8,8434.8,8555.9,8680.3,8816.3,8927,8996.5,9140.1,9270.1,9419.6,9579.2
3197,3367.1,3521,3683.8,3843.7,3983.4,4117,4246.4,4408.1,4567.5,4711.7,4862.4,5005.8,5158.3,5299.8,5433.7,5572.1,5710.2,5854.4,5997.5,6148.4,6299,6446.8,6582.2,6668.9,6770,6871.7,7008.1,7126.3,7220.8,7345.5,7460.2,7540.3,7682.8,7830.8,7976.9,8105.2,8194.7,8289.9,8389,8526.4,8646.5,8743.7,8869.8,8984.8,9064,9196.9,9347.4,9480.6,9615.6
