g,c,c,c,c,c,b,b,b,b,c,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
1997.9,2159.2,2312.6,2471.7,2644.9,2811.9,2941.6,3058.3,3221.4,3382.8,3664.1,3789.2,3940.9,4092.3,4228.8,4392.7,4534.2,4669.8,4809.6,4949.5,5089.7,5230.4,5372.7,5506.9,5651.3,5800.4,5949.1,6033.1,6131.2,6251,6342,6461.1,6583.4,6717.8,6835.8,6898.1,7288.7,7430.6,7569.6,7701.5,7814.2,7936.6,7998.8,8151.4,8278.5,8422,8588.2,8670.7,8767.9,8887.1,8976.8,9102.6,9223.5,9355.8,9476.2,9538.2,9711.1,9825.5,9968.1,10112,10248,10384,10511,10656,10803,10949,11030,11130,11252,11343,11465,11591,11729,11851,11912
2020.1,2190.2,2344.1,2508.2,2678.1,2845.9,2982.3,3125.9,3289,3451.4,3699.5,3853.1,4004.5,4160.5,4295.7,4448.6,4589,4724.9,4863.8,5004.6,5145.5,5287.6,5428,5580.6,5729.8,5872.6,6005.4,6094.5,6195.2,6295.2,6431.5,6549.5,6642.2,6770,6887,6961.6,7310.7,7464.8,7626.2,7735.8,7867.2,7985.6,8063.7,8207.6,8353.6,8505.1,8643.4,8735.1,8831.6,8933.1,9071.3,9190.1,9280.8,9408.3,9524.9,9604,9750.5,9892.6,10033,10169,10303,10437,10583,10730,10878,11006,11097,11197,11298,11435,11558,11649,11780,11900,11960
