b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,h,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,h
3549,3708.5,3856.7,4016.3,4155.7,4288.1,4435.2,4577.7,4736,4877.5,5017.4,5154.1,5298.1,5435.6,5573.2,5718.2,5853.1,5992.9,6140.8,6287.4,6371.1,6471.5,6587.3,6676.3,6796.6,6919,7053.5,7174.2,7235.4,7387.3,7499.4,7637.8,7792.1,7908.1,8055.9,8191.5,8322.2,8449.5,8588.4,8736.4,8875.3,8959,9057.4,9175.1,9262.7,9383.8,9504.2,9635.2,9747.8,9815.3,9975.1,10087,10212,10362,10527,10671,10755,10854,10971,11060,11183,11303,11434,11546,11616,11810,11925,12054,12165,12284,12347,12491,12623,12774,12912,13038,13149,13263,13331,13479,13601,13747,13894,13977,14074,14193,14284,14405,14527,14658,14780,14845,14988,15122,15235,15364
3573.5,3741.3,3886.9,4051.1,4192.5,4347.3,4499.6,4641.9,4803.5,4940.9,5070.4,5205.7,5351.1,5487.6,5627,5771.9,5921.3,6068.1,6215,6346.8,6432.9,6534.5,6630,6761.1,6879.8,6978,7099.2,7220.6,7300.7,7429.4,7562.9,7701.4,7835.7,7974.2,8111.4,8245.5,8378.6,8523.2,8663.8,8807.2,8936.3,9022.4,9120.3,9218.9,9354.1,9476.5,9564.4,9689.4,9801.2,9878.7,10014,10140,10280,10429,10596,10730,10817,10918,11020,11149,11270,11361,11488,11602,11681,11852,11978,12091,12219,12332,12410,12545,12659,12794,12966,13076,13204,13316,13394,13531,13673,13818,13954,14043,14138,14237,14374,14492,14587,14711,14830,14908,15042,15158,15285,15403
