b,c,c,b,c,b,c,g,g,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,k,l,e,h,d,h
2403,2543.2,2939.2,3098,3241.1,3389.4,3522,4192.8,4340.8,4495.9,4650.4,4798.5,4936.1,5082.3,5235.2,5378.2,5523.2,5671.2,5824.2,5907.2,6004.3,6124.4,6217.6,6339.5,6462.2,6596.4,6717,6780.4,6959,7073.6,7214.6,7354.3,7501.4,7633.7,7768,7897.7,8046.7,8190.7,8338,8484,8567.6,8666.8,8787.8,8879.6,9002.5,9125.9,9261.1,9381.2,9444.3,9628.7,9757.3,9873.6,10018,10154,10288,10433,10582,10665,10762,10883,10973,11097,11220,11355,11468,11536,11687,11831,11935,12057,12121,12285,12410,12524,12644,12709,12866,12998,13120,13243
2431.2,2571.1,2967.8,3128.8,3272.4,3416,3559.8,4217.5,4372.1,4548.4,4703.1,4850.9,4991.1,5136.3,5289.5,5449.8,5599.7,5743.9,5882.2,5972.8,6071.5,6167.8,6310,6430.9,6524.9,6646.2,6765.2,6844.1,6995.4,7138.2,7279.4,7410.4,7557.1,7690.2,7825.4,7971.8,8122.5,8264.3,8413,8543.6,8633.4,8732.2,8830.8,8973.7,9092.5,9186,9311.9,9428.5,9508.2,9657.4,9798.9,9936.7,10079,10212,10365,10506,10642,10728,10828,10926,11063,11190,11281,11410,11523,11605,11741,11867,11986,12109,12187,12341,12449,12575,12697,12774,12921,13033,13171,13281
