g,b,b,b,b,c,c,c,c,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,h,d,h,h,e,h,d,k,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
5724.5,5903.2,6054.7,6205.2,6334.8,6463.4,6609.1,6773.8,6899.5,7032.2,7173.1,7307.3,7454.4,7590,7731,7862.9,8000.9,8128.8,8252.2,8392,8540.1,8682.9,8765.2,8860.9,8978.8,9066.5,9184.4,9305,9437.3,9546.4,9613.8,9770.6,9888.3,10011,10154,10293,10436,10519,10616,10734,10823,10939,11057,11186,11296,11365,11509,11631,11775,11920,12069,12149,12252,12374,12463,12584,12703,12835,12946,13015,13162,13293,13440,13596,13718,13839,13987,14130,14263,14386,14497,14567,14722,14855,14967,15089,15149,15300,15428,15576,15730,15811,15907,16027,16118,16238,16357,16496,16616,16679
5754.9,5936.4,6090,6232.9,6368.8,6502.5,6653.9,6816.2,6935.2,7103,7236.4,7374.9,7520.5,7647.8,7784.8,7921.9,8054.4,8181.9,8325.9,8467.6,8615.4,8744.5,8829.9,8925.7,9024.1,9160.7,9274.4,9366.8,9489,9601,9682.4,9816.6,9944.3,10089,10229,10368,10495,10582,10681,10780,10915,11028,11117,11241,11356,11432,11564,11709,11850,11999,12126,12217,12319,12420,12556,12677,12766,12889,13006,13080,13217,13367,13505,13637,13771,13879,14022,14184,14302,14441,14552,14634,14778,14892,15020,15136,15217,15356,15506,15655,15789,15880,15977,16075,16209,16330,16420,16548,16667,16745
