c,c,c,c,c,c,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,b,b,b,e,e,e,h,d,k,l,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l,b,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d
3182.5,3318.8,3464.3,3592.6,3738.2,3886.8,4015,4166.5,4345.5,4468,4606.5,4759.8,4899.5,5042.4,5193.8,5341.6,5467.7,5635,5789,5937.8,6024.7,6123.9,6247,6340.3,6462,6584.9,6722.2,6844.6,6910.9,7054.9,7186.7,7337.6,7487.3,7573.2,7674.4,7797.8,7889,8014.8,8138.3,8276.4,8394.4,8465,8613.7,8744.6,8895.2,9047.3,9198.1,9284.7,9386.3,9509.2,9605.2,9730.8,9859,9997.9,10118,10184,10335,10466,10578,10702,10767,11106,11231,11383,11522,11660,11796,11952,12071,12194,12258,12415,12548,12659,12785,12851,13003,13139,13294,13444,13598,13685,13787,13912,14006,14133,14259,14401,14528,14594,14786,14906,15045,15199,15351,15437,15538,15668,15761,15888,16016,16158,16289,16355,16787,16914,17052,17169,17298,17365,17521,17688,17811,17938,18012,18259,18382,18540,18712,18855,19004,19159,19325,19472,19613,19746,19881,20033,20192,20348,20435,20534,20659,20752,20878,21005,21147
3212.7,3349.4,3495.2,3621.1,3765.9,3916.3,4083.1,4230.2,4385.3,4534.6,4674.7,4815.8,4956.7,5099.1,5248.2,5397.9,5556.5,5711.1,5859.1,5999,6090.3,6185.4,6290,6428.6,6553.8,6650.5,6776.2,6893.3,6975.6,7110,7257.6,7413.2,7546.4,7638.4,7735.3,7841.6,7985.2,8107.7,8202,8329.7,8448.8,8527.8,8669.8,8824.3,8967.3,9119.7,9256.9,9349.7,9451.2,9559.8,9702.2,9825.8,9922.3,10050,10170,10249,10392,10500,10631,10752,10832,11150,11299,11447,11583,11718,11848,11990,12126,12247,12326,12472,12585,12714,12836,12921,13061,13213,13373,13518,13662,13751,13856,13959,14098,14225,14320,14455,14578,14665,14832,14963,15122,15277,15414,15506,15603,15719,15855,15978,16077,16212,16340,16423,16827,16972,17089,17224,17348,17429,17580,17725,17866,17998,18083,18297,18451,18610,18784,18928,19075,19216,19382,19529,19672,19805,19957,20114,20268,20410,20501,20600,20708,20845,20970,21066,21198
