b,b,b,b,g,b,b,c,c,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,h,g,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,h
12.906,170.34,324.5,507.56,2226.6,2397.5,2531.2,2673.6,2814.9,2963.1,3110.2,3253.2,3394.5,3539.2,3681.1,3824.6,3956.6,4085.8,4225.9,4357.5,4495.2,4640.2,4769.8,4918.2,5059.3,5204.6,5289.3,5388.1,5507.8,5597.4,5717.1,5838,5970.7,6089.2,6152.2,6293.9,6421,6568,6716.3,6799.2,6898.5,7019.1,7106.2,7228.8,7348.5,7481.8,7602.9,7664.2,7808.7,7935.8,8045.5,8162.7,8224.2,8372.2,8501.7,8613.2,8742.2,8893.6,9025.3,9164.6,9277.8,9396.4,9458.9,9614.7,9740.9,9893.1,10042,10125,10228,10348,10437,10558,10679,10814,10935,10997,11168,11284,11414,11527,11651,11714,11860,11998,12156
78.656,241,393.69,563.94,2254.8,2427.8,2565.7,2701.9,2848.3,3026.1,3177.6,3320,3460.6,3601.4,3734.4,3877.6,4010.5,4136.2,4282.3,4412.4,4549.6,4692.4,4840.1,4991.1,5129.5,5262.2,5353.5,5451.7,5552.4,5687.4,5809.5,5896.6,6025,6136.8,6217.1,6348.8,6490.8,6641.4,6774.3,6862.9,6960.8,7062.9,7197.4,7315,7403.8,7532.1,7649,7728.1,7862.7,7970.3,8094.8,8213.4,8286.8,8425.1,8536,8665.7,8779.4,8924.9,9080,9198.5,9330.5,9449.2,9522.2,9666.9,9818.3,9969.2,10102,10192,10294,10390,10525,10646,10735,10865,10984,11059,11208,11337,11447,11579,11699,11779,11912,12070,12190
