h,g,g,g,b,c,b,b,b,c,b,b,e,e,e,e,e,j,j,j,j,j,i,l,l,g,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l
3682.2,3841.4,4097.2,4263.3,4427.2,4556.1,4685.1,4827.8,4993.1,5128.4,5248.9,5369.6,5513.3,5653.9,5787.9,5920.3,6055.4,6188.5,6327.1,6473.3,6623.1,6777.4,6922.3,7005.5,7116.8,7477.3,7609.1,7732.4,7866.9,8003.4,8144,8280.7,8424,8564,8701.7,8841.1,8986.1,9070,9165.8,9285.8,9373.3,9493,9612.5,9742.9,9861.7,9924.9
3709.4,3867.1,4122.5,4290,4461.6,4588,4720.7,4862.6,5026.9,5162.8,5300.7,5439.8,5568.6,5710.2,5843.8,5976.1,6111.2,6260.3,6398.1,6549.1,6694.3,6853.9,6981.5,7070.9,7179.7,7500.2,7649.5,7796.2,7931.7,8071,8210.5,8352.4,8479.1,8621.6,8775,8917.8,9045.5,9130.7,9228,9329.7,9464.7,9583.6,9671.6,9795.8,9911,9987.4
