b,c,c,c,c,b,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,b,b,b,b,b,d,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l
3067,3233.9,3359.3,3512.4,3635.6,3770.8,3934.3,5071.4,5212.9,5336.2,5491.5,5648.8,5778.2,5920.8,6074.6,6217.5,6368.5,6519.5,6667.2,6808.3,6945.3,7082.8,7228.6,7372,7505.5,7652.4,7796.5,7879.7,7977.8,8099.4,8189.6,8309.3,8428.5,8564.8,8686.6,8748.3,8917.6,9034.7,9174.1,9318.8,9453.3,9594.8,9733.1,9877.9,10026,10179,10332,10474,10613,10745,10886,11034,11180,11262,11362,11481,11572,11692,11811,11944,12064,12124,12269,12398,12550,12689,12842,12987,13069,13168,13289,13377,13500,13622,13755,13874,13936,14103,14221,14348,14454,14574,14635,14795,14928,15040,15164,15225
3088.9,3260.7,3387.8,3543.3,3665.9,3811.3,3968.6,5110.2,5248.3,5370.1,5524.7,5687.3,5844.7,5991.8,6137.8,6285.4,6434.3,6574.9,6720.9,6863,7000.1,7137,7283.7,7424.6,7574.4,7720.4,7852.4,7942.8,8040.6,8142.3,8277.6,8396.3,8491.3,8614.9,8732.6,8810.3,8958.3,9102.7,9242.8,9383.1,9523.8,9665.9,9802.3,9952.5,10100,10248,10367,10530,10668,10815,10963,11109,11237,11326,11424,11526,11662,11776,11870,11998,12114,12189,12322,12467,12624,12760,12915,13047,13135,13232,13331,13468,13589,13681,13806,13923,14000,14142,14276,14384,14507,14623,14706,14849,14965,15094,15214,15291
